Gene	TCGA-RZ-AB0B-01A-11R-A40B-13	TCGA-V3-A9ZX-01A-11R-A40B-13	TCGA-V3-A9ZY-01A-11R-A40B-13	TCGA-V4-A9E5-01A-11R-A40B-13	TCGA-V4-A9E7-01A-11R-A40B-13	TCGA-V4-A9E8-01A-11R-A40B-13	TCGA-V4-A9E9-01A-11R-A40B-13	TCGA-V4-A9EA-01A-11R-A40B-13	TCGA-V4-A9EC-01A-11R-A40B-13	TCGA-V4-A9ED-01A-11R-A40B-13	TCGA-V4-A9EE-01A-11R-A40B-13	TCGA-V4-A9EF-01A-21R-A40B-13	TCGA-V4-A9EH-01A-11R-A40B-13	TCGA-V4-A9EI-01A-11R-A40B-13	TCGA-V4-A9EJ-01A-11R-A40B-13	TCGA-V4-A9EK-01A-11R-A40B-13	TCGA-V4-A9EL-01A-11R-A40B-13	TCGA-V4-A9EM-01A-11R-A40B-13	TCGA-V4-A9EO-01A-12R-A40B-13	TCGA-V4-A9EQ-01A-11R-A40B-13	TCGA-V4-A9ES-01A-11R-A40B-13	TCGA-V4-A9ET-01A-11R-A40B-13	TCGA-V4-A9EU-01A-11R-A40B-13	TCGA-V4-A9EV-01A-11R-A40B-13	TCGA-V4-A9EW-01A-11R-A40B-13	TCGA-V4-A9EX-01A-11R-A40B-13	TCGA-V4-A9EY-01A-11R-A40B-13	TCGA-V4-A9EZ-01A-11R-A40B-13	TCGA-V4-A9F0-01A-11R-A40B-13	TCGA-V4-A9F1-01A-11R-A40B-13	TCGA-V4-A9F2-01A-11R-A40B-13	TCGA-V4-A9F3-01A-11R-A40B-13	TCGA-V4-A9F4-01A-11R-A40B-13	TCGA-V4-A9F5-01A-11R-A40B-13	TCGA-V4-A9F7-01A-11R-A40B-13	TCGA-V4-A9F8-01A-11R-A40B-13	TCGA-VD-A8K7-01B-11R-A40B-13	TCGA-VD-A8K8-01A-11R-A40B-13	TCGA-VD-A8K9-01A-11R-A40B-13	TCGA-VD-A8KA-01B-11R-A40B-13	TCGA-VD-A8KB-01A-11R-A40B-13	TCGA-VD-A8KD-01A-11R-A40B-13	TCGA-VD-A8KE-01A-11R-A40B-13	TCGA-VD-A8KF-01A-11R-A40B-13	TCGA-VD-A8KG-01A-11R-A40B-13	TCGA-VD-A8KH-01A-11R-A40B-13	TCGA-VD-A8KI-01A-11R-A40B-13	TCGA-VD-A8KJ-01A-11R-A40B-13	TCGA-VD-A8KK-01A-11R-A40B-13	TCGA-VD-A8KL-01A-11R-A40B-13	TCGA-VD-A8KM-01A-11R-A40B-13	TCGA-VD-A8KN-01A-11R-A40B-13	TCGA-VD-A8KO-01A-11R-A40B-13	TCGA-VD-AA8M-01A-11R-A40B-13	TCGA-VD-AA8N-01A-11R-A40B-13	TCGA-VD-AA8O-01A-11R-A40B-13	TCGA-VD-AA8P-01A-11R-A40B-13	TCGA-VD-AA8Q-01A-11R-A40B-13	TCGA-VD-AA8R-01A-11R-A40B-13	TCGA-VD-AA8S-01B-11R-A40B-13	TCGA-VD-AA8T-01A-11R-A40B-13	TCGA-WC-A87T-01A-11R-A40B-13	TCGA-WC-A87U-01A-11R-A40B-13	TCGA-WC-A87W-01A-11R-A40B-13	TCGA-WC-A87Y-01A-11R-A40B-13	TCGA-WC-A880-01A-11R-A40B-13	TCGA-WC-A881-01A-12R-A40B-13	TCGA-WC-A882-01A-11R-A40B-13	TCGA-WC-A883-01A-12R-A40B-13	TCGA-WC-A884-01A-11R-A40B-13	TCGA-WC-A885-01A-11R-A40B-13	TCGA-WC-A888-01A-11R-A40B-13	TCGA-WC-A88A-01A-11R-A40B-13	TCGA-WC-AA9A-01A-11R-A40B-13	TCGA-WC-AA9E-01A-11R-A40B-13	TCGA-YZ-A980-01A-11R-A40B-13	TCGA-YZ-A982-01A-11R-A40B-13	TCGA-YZ-A983-01A-11R-A40B-13	TCGA-YZ-A984-01A-11R-A40B-13	TCGA-YZ-A985-01A-11R-A40B-13
hsa-miR-19a-3p|MIMAT0000073	204	1	17	96	174	12	2	3	157	29	124	11	13	17	5	34	8	16	118	417	119	95	76	195	140	52	12	104	49	69	186	166	111	126	234	115	68	829	2723	166	1482	806	841	692	15	30	1	11	3	10	69	24	57	224	146	40	176	143	60	94	173	150	50	227	141	51	92	29	327	12	3	47	1	120	175	9	166	31	39	29
hsa-miR-19b-1-5p|MIMAT0004491	135	72	83	77	195	95	125	36	251	89	88	61	175	47	74	43	85	128	75	162	56	170	53	145	121	129	54	74	65	42	109	131	232	84	183	172	251	175	572	104	361	234	252	139	16	45	95	53	71	84	42	60	69	212	155	150	173	157	67	54	91	146	55	90	72	86	136	35	119	91	90	66	86	66	151	57	141	28	69	152
hsa-miR-19b-3p|MIMAT0000074	1909	34	289	775	1090	173	48	53	1908	346	756	158	170	141	107	285	122	158	463	1720	771	1342	619	976	936	416	178	1104	365	367	777	534	1556	873	1962	688	458	3389	10428	614	6607	3721	3433	2652	143	314	123	217	253	204	216	189	562	1363	1034	347	1049	813	430	565	794	1004	428	783	593	408	844	480	1120	309	78	494	106	1523	2178	148	1092	217	380	332
hsa-miR-19b-2-5p|MIMAT0004492	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-20a-5p|MIMAT0000075	7466	781	848	3676	6022	592	315	63	6401	806	5034	791	906	760	813	924	1105	427	6128	20287	7355	5233	4790	8645	4535	2127	447	6156	1507	2644	7769	6478	8297	5233	14057	6761	3504	13788	38990	7432	22856	14037	19680	9661	784	5732	1317	1283	1781	3372	4063	2406	3122	9592	6707	2089	7253	8172	2672	4942	4092	8037	1338	7213	6304	2431	5607	825	15068	2267	906	1839	1926	5168	10415	459	6471	545	1010	762
hsa-miR-20a-3p|MIMAT0004493	20	8	16	38	31	11	3	6	43	14	29	4	12	16	31	21	11	7	37	49	22	45	17	18	52	12	12	20	20	8	28	14	62	25	43	40	95	164	351	52	323	109	126	127	5	41	10	32	30	31	14	22	22	62	23	15	66	33	33	77	35	19	18	50	24	20	50	5	32	19	28	24	13	34	46	5	41	12	20	13
hsa-miR-21-5p|MIMAT0000076	734910	115229	40467	130209	198795	55873	11791	6465	138209	130496	622403	31891	59051	86478	78986	142215	251826	190633	226796	694486	301069	267601	649517	2281484	207837	209536	79179	394035	179096	552531	302377	1068541	347967	245644	231964	295183	166232	1939582	1777060	266194	1024188	2993476	643676	1124681	64419	197350	100453	78421	127486	140158	1341428	250819	52594	295093	641611	569241	183263	373511	74581	340012	160261	134106	73976	248881	1614627	150552	236420	138904	388985	488967	106668	940718	116752	113471	265542	70519	342829	31151	199186	78458
hsa-miR-21-3p|MIMAT0004494	1149	341	148	167	277	226	136	48	335	448	2254	94	206	684	272	183	992	697	244	357	244	404	972	2240	367	739	148	318	439	938	247	1520	485	334	148	413	557	5626	2597	222	2003	4921	502	3664	74	217	154	198	240	123	976	430	88	371	1275	1582	596	343	226	282	155	115	160	134	918	110	413	71	375	426	412	1166	255	338	304	244	386	105	399	485
hsa-miR-22-5p|MIMAT0004495	151	119	98	24	74	100	90	24	110	159	167	39	194	84	240	112	279	73	24	106	103	19	53	158	45	164	137	25	158	151	53	140	46	62	74	86	62	269	146	55	97	313	197	134	69	258	139	97	176	59	264	114	21	176	95	410	71	130	199	123	66	47	89	19	552	85	15	70	61	273	141	461	101	41	18	182	50	38	68	28
hsa-miR-22-3p|MIMAT0000077	1572064	502874	595329	90187	309396	419321	206574	78918	678281	355136	705027	193854	466648	240253	636879	179340	592097	659012	283163	500893	556458	125801	309977	1044361	293068	569833	950680	206206	254782	508762	370940	858402	313582	312065	449471	273274	201027	918005	1147611	417956	687503	1607336	1170699	730563	171884	837318	477673	306561	316751	196751	818732	294403	137595	1051051	652247	1416790	353431	499349	826816	480456	298710	440684	248746	180722	1305745	521919	127572	503516	416616	1029706	495544	731429	369518	283439	177339	557813	224920	277077	283500	250519
hsa-miR-23a-5p|MIMAT0004496	37	14	27	36	31	13	30	22	46	32	109	33	16	19	24	6	51	15	33	24	84	27	46	38	90	32	27	4	26	37	22	67	54	36	29	27	77	32	41	57	29	58	12	24	20	43	13	18	19	7	46	53	9	28	20	21	42	19	26	21	42	44	19	32	59	23	32	3	28	14	29	25	14	46	24	15	3	6	16	19
hsa-miR-23a-3p|MIMAT0000078	128180	20400	52363	61725	41620	23409	50193	14816	100097	42701	64612	23329	19847	15667	34924	18058	42696	40418	28304	77665	97808	106283	48510	80536	72376	49405	36426	26062	26795	37238	28679	56351	141893	59018	84303	62530	80896	41948	120869	69436	115452	95173	58772	45527	20105	36591	36209	36084	47520	26078	30185	61821	15102	94514	67386	55623	75429	44320	31394	44799	50892	66840	30613	37456	96622	43261	37396	14616	30317	45060	67883	49270	30340	39224	28591	19453	20592	17131	31988	50037
hsa-miR-24-1-5p|MIMAT0000079	46	22	9	16	14	10	24	4	24	39	39	11	10	15	31	11	46	18	9	32	26	14	53	41	24	22	7	14	22	19	18	11	32	31	14	18	19	67	42	9	32	33	19	31	21	49	34	17	45	6	27	21	5	22	23	17	38	9	27	32	11	10	13	15	67	6	3	9	19	18	24	50	27	10	6	52	12	4	36	14
hsa-miR-24-3p|MIMAT0000080	20829	4052	3586	4106	8355	3397	5948	1083	6181	4839	10099	3056	2639	3502	3697	2474	12023	7557	3499	16834	6955	5389	8091	20628	3699	8368	3328	1940	5141	8690	3538	11521	8110	5268	6161	7290	8655	12626	24742	4980	8768	16919	9928	5377	3317	5000	9259	5084	8433	3135	11333	9169	1636	9463	10404	10766	6017	3837	2231	6213	4965	7974	2647	3542	30215	4727	2063	6445	11553	6471	6600	12321	4421	2044	1740	4163	1815	1221	3383	3280
hsa-miR-24-2-5p|MIMAT0004497	201	67	40	44	54	47	43	12	74	51	194	53	18	75	60	25	167	66	34	107	93	46	128	146	42	138	51	16	91	129	58	118	79	59	73	79	84	327	225	31	117	195	116	93	32	88	57	82	90	38	115	53	17	83	106	83	60	52	43	78	66	73	47	34	236	29	12	29	99	80	38	176	64	45	25	70	14	16	28	41
hsa-miR-25-5p|MIMAT0004498	4	2	3	2	8	4	7	2	3	1	1	1	6	3	2	2	8	3	3	5	2	2	2	8	3	4	1	2	1	4	3	11	6	NA	6	3	3	NA	9	3	NA	NA	4	4	2	3	4	1	2	2	8	1	1	4	3	3	7	7	2	3	1	3	NA	6	4	11	3	1	4	2	4	NA	4	2	8	3	3	2	6	2
hsa-miR-25-3p|MIMAT0000081	46826	37963	31155	90452	57936	41959	77655	94791	72436	99858	74425	66811	67515	50542	110219	50656	62077	54130	37244	66848	77547	50557	33685	54840	101104	64315	59851	44039	79177	54626	128552	47189	121094	37614	63727	74717	85448	94937	132832	125862	186664	68303	73154	126968	40375	106846	77952	85489	108141	60706	64451	60180	43433	89807	40097	39793	77883	69473	44081	98386	63155	76077	69893	187533	74413	91501	38503	62003	79566	84658	110539	76031	89906	59239	72942	57482	80109	42855	86869	97756
hsa-miR-26a-5p|MIMAT0000082	16578	9860	11314	19309	17623	9211	15932	6244	22009	18835	9258	13570	28146	3794	19643	10007	13974	13796	15153	21755	12303	16976	10585	23314	12695	7214	20499	11091	12481	7817	14026	15433	24787	10908	23540	21503	35415	33859	53490	22570	37692	54499	36930	19714	8838	14831	25095	13878	28549	26214	24624	22047	10915	46564	12838	10526	14348	41419	12030	20799	17428	25241	11773	37716	45084	27248	9098	16093	10265	33171	26799	40391	22378	9067	14245	21434	21634	5150	18698	18508
hsa-miR-26a-1-3p|MIMAT0004499	13	2	8	15	9	7	18	6	22	9	8	9	14	5	7	13	13	4	14	4	14	7	16	2	20	4	24	6	17	14	13	10	22	6	7	26	30	14	18	8	31	24	9	12	2	20	9	8	16	6	13	17	6	15	6	7	17	27	21	8	9	17	8	26	20	16	11	6	2	7	13	12	23	7	5	7	2	7	7	16
hsa-miR-26b-5p|MIMAT0000083	2914	2634	1787	4142	3165	1790	3062	1063	3037	3933	2761	4563	2810	1297	4734	7376	3461	2338	2447	4638	1932	2294	2075	3258	2074	2208	3997	1148	3978	1916	2220	2575	2622	2243	3097	4753	5984	14079	13231	2916	9962	10351	8115	4046	3206	4699	6838	4664	9007	6723	4722	4112	1261	7233	2641	3170	3471	4802	2283	9017	4457	1677	2700	7932	9671	5730	1199	4217	3545	5736	5304	10744	5189	2120	2124	5749	5409	1029	4374	4015
hsa-miR-26b-3p|MIMAT0004500	105	109	201	202	97	116	567	166	281	284	130	181	238	116	292	317	219	303	104	87	92	244	100	143	230	136	178	56	190	82	86	97	382	109	147	156	569	251	284	162	373	265	119	168	129	173	164	316	317	120	114	291	60	237	142	186	257	182	223	319	189	63	185	261	216	189	135	29	81	163	399	257	154	106	66	208	226	75	241	304
hsa-miR-27a-5p|MIMAT0004501	127	99	77	42	166	60	72	29	132	66	122	52	73	55	61	18	169	69	57	132	175	94	159	289	65	100	115	51	74	133	106	227	171	103	81	142	118	110	130	79	76	90	54	68	22	52	54	59	33	29	214	87	11	178	92	91	86	96	38	50	80	98	29	37	146	49	25	20	200	40	46	80	60	37	58	57	19	8	69	150
