ID_REF	C11	C16	P11	P16	AA15	HD2	HD13	E4	L1	L8	C12	C17	P12	AA11	AA16	HD8	HD14	E5	L2	L10	C13	C18	P13	AA12	AA19	HD9	E1	E6	L3	L12	C14	P1	P14	AA13	AA20	HD11	E2	E7	L4	C15	P5	P15	AA14	HD1	HD12	E3	E8	L7
hsa-miR-766-4395177	-2.3578935	-2.85561125	-2.22569725	-2.571695	-2.0685785	-3.93128725	-1.533566	-0.429218	-6.00172175	2.32332875	-3.20800425	-3.02531375	-4.05568525	-0.92794925	-2.9226195	0.1654585	-1.33893375	-5.89491375	-4.31089025	-6.339786	-3.18247625	-1.57155125	-0.3628625	-2.92688975	-1.136005	-2.889977	-4.587198	-1.49111425	-4.2003965	-5.066934	-0.9587375	-0.30172875	-3.46035075	0.5176555	-0.7718765	0.41294825	-2.1864535	1.61547125	-2.68864925	-2.12181725	-3.547949	-2.70720775	1.5270655	-6.32220375	-2.75898775	-3.42299225	-2.259154	-4.08053225
hsa-miR-7-4378130	0.9287855	2.89237775	3.24344575	-0.403589	3.6255935	5.13906475	6.01741	0.307129	0.31253525	9.66798675	0.53170275	2.02202725	3.81149475	5.10672475	10.1806885	7.8256395	3.24032925	-1.50589275	1.79517975	1.597302	4.59263075	6.62983975	6.0441275	1.67776225	2.263581	0.751489	2.105342	0.44691575	3.7230655	2.62269	2.9357305	3.39637025	2.38231625	7.1791965	12.3475595	4.95806325	1.4346805	4.39399725	5.06991375	6.01969475	-0.705305	3.25054625	11.5080435	0.75402725	4.29647325	1.16940175	0.275871	1.54625475
hsa-miR-675-4395192	11.6290725	11.41083775	12.67482275	10.031002	11.6074085	11.43410875	10.647377	10.237486	11.10163825	9.66798675	10.98277975	12.00806525	10.64602075	12.08757875	10.1806885	14.7726155	11.88540825	7.38004025	11.97071275	12.405432	11.36156275	10.59653775	13.7490455	12.43686225	10.190451	6.495756	11.346068	10.40658675	10.8479315	11.725376	11.8975895	13.73935725	11.41164925	14.9345215	12.3475595	14.52712625	10.3056085	11.56402225	12.22705975	12.79698475	10.432333	12.40792725	12.3630435	10.12416325	12.58160325	10.62627475	11.117313	9.75096475
hsa-miR-668-4395181	12.6826765	11.41083775	10.11448275	5.233892	6.3765165	6.95947675	10.647377	10.237486	10.00083125	9.66798675	9.56200375	12.00806525	5.47918875	12.08757875	10.1806885	14.7726155	8.29548025	8.30013025	4.34229875	6.653109	11.36156275	10.59653775	8.6771355	8.45878925	10.190451	4.781429	11.346068	10.40658675	4.3221365	5.765694	11.8975895	13.73935725	11.12085925	5.1013475	12.3475595	14.52712625	10.3056085	11.56402225	12.22705975	5.97690475	2.612177	8.56296725	12.3630435	1.87658025	8.15109925	7.78786175	11.117313	5.72296475
hsa-miR-662-4381010	5.8707525	11.41083775	12.67482275	4.332342	11.6074085	11.43410875	10.647377	10.237486	11.10163825	9.66798675	10.98277975	12.00806525	10.64602075	12.08757875	10.1806885	14.7726155	9.77576825	8.30013025	11.97071275	12.405432	11.36156275	7.95640075	13.7490455	12.43686225	10.190451	9.753856	11.346068	10.40658675	8.3354195	11.725376	11.8975895	13.73935725	11.41164925	6.8653305	12.3475595	14.52712625	10.3056085	11.56402225	12.22705975	12.79698475	10.432333	12.40792725	12.3630435	10.12416325	12.58160325	10.62627475	11.117313	9.75096475
hsa-miR-658-4380923	12.6826765	11.41083775	12.67482275	10.031002	11.6074085	11.43410875	10.647377	10.237486	11.10163825	9.66798675	10.98277975	12.00806525	10.64602075	12.08757875	10.1806885	14.7726155	11.88540825	8.30013025	11.97071275	12.405432	11.36156275	10.59653775	13.7490455	12.43686225	10.190451	9.753856	11.346068	10.40658675	10.8479315	11.725376	11.8975895	13.73935725	11.41164925	13.0030675	12.3475595	14.52712625	10.3056085	6.54231625	12.22705975	12.79698475	10.432333	12.40792725	12.3630435	10.12416325	12.58160325	10.62627475	11.117313	9.75096475
hsa-miR-657-4380922	6.9747295	11.41083775	12.67482275	10.031002	11.6074085	11.43410875	9.68243	9.588591	11.10163825	8.20599675	10.98277975	12.00806525	10.64602075	12.08757875	10.1806885	14.7726155	11.88540825	8.30013025	11.97071275	12.405432	11.36156275	10.59653775	13.7490455	11.57502725	10.190451	9.753856	11.346068	10.40658675	10.8479315	11.725376	11.8975895	13.73935725	11.41164925	14.9345215	12.3475595	14.52712625	10.3056085	11.56402225	12.22705975	12.79698475	10.432333	12.40792725	11.3616285	10.12416325	12.58160325	10.62627475	11.117313	9.75096475
hsa-miR-656-4380920	3.3057505	11.41083775	5.60093975	5.782356	4.5212845	1.92261475	10.647377	4.530446	-0.49780875	9.66798675	10.98277975	7.32494525	3.49719075	9.11045175	5.1570185	6.5035215	11.88540825	-2.12850675	4.97478275	1.255987	11.19221675	5.60354775	5.7548855	2.76164725	6.672274	9.753856	1.588444	4.98304675	0.3322215	4.406399	3.8755115	4.47629225	6.18160425	8.2406815	12.3475595	14.52712625	2.3609135	11.56402225	2.62464475	3.33516775	3.823107	8.47220125	12.3630435	-0.46951075	2.80817925	4.38392675	11.117313	9.75096475
hsa-miR-650-4381006	12.6826765	11.41083775	12.67482275	10.031002	11.6074085	11.43410875	10.647377	10.237486	11.10163825	9.66798675	10.98277975	12.00806525	10.64602075	10.18589475	10.1806885	12.8663855	11.88540825	7.68996025	10.96807675	12.405432	11.36156275	10.59653775	13.7490455	8.15363225	10.190451	9.753856	11.346068	10.40658675	10.8479315	9.837376	11.8975895	10.10841425	9.34511725	12.5992915	8.1629495	14.52712625	10.3056085	11.56402225	12.22705975	12.63784675	9.034433	12.16028425	7.2666035	10.12416325	12.58160325	10.62627475	11.117313	9.75096475
hsa-miR-649-4381005	12.6826765	11.41083775	12.67482275	10.031002	11.6074085	11.43410875	10.647377	10.237486	11.10163825	9.66798675	10.98277975	12.00806525	10.64602075	12.08757875	10.1806885	14.7726155	11.88540825	8.30013025	11.97071275	12.405432	11.36156275	10.59653775	13.7490455	12.43686225	10.190451	9.753856	11.346068	10.40658675	10.8479315	11.725376	11.8975895	13.73935725	11.41164925	14.9345215	12.3475595	14.52712625	10.3056085	11.56402225	12.22705975	12.79698475	10.432333	12.40792725	12.3630435	10.12416325	12.58160325	10.62627475	11.117313	9.75096475
hsa-miR-935-4395289	12.6826765	11.41083775	12.67482275	10.031002	11.6074085	11.43410875	10.647377	10.237486	7.84128125	9.66798675	10.98277975	12.00806525	10.64602075	12.08757875	10.1806885	14.7726155	11.88540825	8.30013025	11.97071275	12.405432	10.65255575	10.59653775	13.7490455	12.43686225	10.190451	9.753856	11.346068	10.40658675	10.8479315	11.725376	11.8975895	13.73935725	11.41164925	14.9345215	12.3475595	14.52712625	10.3056085	11.56402225	12.22705975	12.79698475	10.432333	12.40792725	12.3630435	10.12416325	12.58160325	10.62627475	11.117313	9.75096475
hsa-miR-934-4395288	12.6826765	11.41083775	12.67482275	10.031002	11.6074085	11.43410875	10.647377	10.237486	11.10163825	9.66798675	10.98277975	12.00806525	10.64602075	12.08757875	10.1806885	14.7726155	11.88540825	8.30013025	11.97071275	12.405432	11.36156275	10.59653775	13.7490455	12.43686225	10.190451	9.753856	11.346068	10.40658675	10.8479315	11.725376	11.8975895	13.73935725	11.41164925	14.9345215	12.3475595	14.52712625	10.3056085	11.56402225	12.22705975	12.79698475	10.432333	12.40792725	12.3630435	10.12416325	12.58160325	10.62627475	11.117313	9.75096475
hsa-miR-933-4395287	12.6826765	11.41083775	12.67482275	10.031002	11.6074085	11.43410875	10.647377	10.237486	11.10163825	9.66798675	10.98277975	12.00806525	10.64602075	12.08757875	10.1806885	14.7726155	11.88540825	8.30013025	11.97071275	12.405432	11.36156275	10.59653775	13.7490455	12.43686225	10.190451	9.753856	11.346068	10.40658675	10.8479315	11.725376	11.8975895	13.73935725	11.41164925	14.9345215	12.3475595	14.52712625	10.3056085	11.56402225	12.22705975	12.79698475	10.432333	12.40792725	12.3630435	10.12416325	12.58160325	10.62627475	11.117313	9.75096475
hsa-miR-924-4395265	12.6826765	11.41083775	12.67482275	10.031002	11.6074085	11.43410875	10.647377	10.237486	11.10163825	9.66798675	10.98277975	12.00806525	10.64602075	12.08757875	10.1806885	14.7726155	11.88540825	8.30013025	11.97071275	12.405432	11.36156275	10.59653775	13.7490455	12.43686225	10.190451	9.753856	11.346068	10.40658675	10.8479315	11.725376	11.8975895	13.73935725	11.41164925	14.9345215	12.3475595	14.52712625	10.3056085	11.56402225	12.22705975	12.79698475	10.432333	12.40792725	12.3630435	10.12416325	12.58160325	10.62627475	11.117313	9.75096475
hsa-miR-923-4395264	-4.1562025	-3.80177825	-1.50108725	-3.325981	-1.4035645	-4.15005725	-2.07135	-1.8078	-3.66260775	9.66798675	-3.63243125	-4.38799775	-3.49728825	-3.47546325	-3.0585675	2.0056305	-0.98190875	-0.25448075	-4.25130825	-6.454208	-4.87552825	-4.47649625	-0.4991735	-2.87015775	-2.734059	-2.693762	-2.829351	-3.35006625	-4.0669355	-0.835798	-1.4530515	-0.75913575	-0.32022875	-2.0968755	-1.8846485	-1.00417875	-0.8024065	-1.19399475	3.01710075	-2.26366125	-0.433836	-3.91860475	0.6734965	-5.66058875	-3.05117275	-2.84972125	-1.107504	-3.56349525
hsa-miR-922-4395263	12.6826765	11.41083775	12.67482275	10.031002	11.6074085	11.43410875	10.647377	10.237486	11.10163825	9.66798675	10.98277975	12.00806525	10.64602075	12.08757875	10.1806885	14.7726155	11.88540825	8.30013025	11.97071275	12.405432	11.36156275	10.59653775	13.7490455	12.43686225	10.190451	9.753856	11.346068	10.40658675	10.8479315	11.725376	11.8975895	13.73935725	11.41164925	14.9345215	12.3475595	14.52712625	10.3056085	11.56402225	12.22705975	12.79698475	10.432333	12.40792725	12.3630435	10.12416325	12.58160325	10.62627475	11.117313	9.75096475
hsa-miR-921-4395262	12.6826765	11.41083775	12.67482275	10.031002	11.6074085	11.43410875	10.647377	10.237486	11.10163825	9.66798675	10.98277975	12.00806525	10.64602075	12.08757875	10.1806885	14.7726155	11.88540825	8.30013025	11.97071275	12.405432	11.36156275	10.59653775	13.7490455	12.43686225	10.190451	9.753856	11.346068	10.40658675	10.8479315	11.725376	11.8975895	13.73935725	11.41164925	14.9345215	12.3475595	14.52712625	10.3056085	11.56402225	12.22705975	12.79698475	10.432333	12.40792725	12.3630435	10.12416325	12.58160325	10.62627475	11.117313	8.94869475
hsa-miR-920-4395261	12.6826765	11.41083775	12.67482275	10.031002	11.6074085	11.43410875	10.647377	10.237486	11.10163825	9.66798675	10.98277975	12.00806525	10.64602075	12.08757875	10.1806885	14.7726155	11.88540825	8.30013025	11.97071275	12.405432	11.36156275	10.59653775	13.7490455	12.43686225	10.190451	9.753856	11.346068	10.40658675	10.8479315	11.725376	11.8975895	13.73935725	11.41164925	14.9345215	12.3475595	14.52712625	10.3056085	11.56402225	12.22705975	12.79698475	10.432333	12.40792725	12.3630435	10.12416325	12.58160325	10.62627475	11.117313	9.75096475
hsa-miR-801-4395183	0.6303385	-1.01960225	-0.13654225	-2.32782	-1.1698995	-0.98146825	-4.500107	1.524336	-1.78644575	9.66798675	1.15521775	-0.00285075	-3.60554725	-0.89201825	3.2196325	0.0735655	-3.20000875	1.07286625	1.05650575	-1.984876	-4.19799425	0.56367075	-4.7229985	-0.49186175	1.171526	-0.175891	0.230782	2.44793475	1.9257225	-1.866858	-2.3867735	-1.16140675	0.57694925	2.6074705	-1.6692205	2.36588125	0.5591255	0.20549425	-0.42140025	-2.18069125	0.030048	-4.41427775	-3.3173935	-0.57807675	1.24218525	1.85407175	0.576853	2.61233875
hsa-miR-769-5p-4395186	1.4976985	2.45581775	2.16625275	4.541862	4.0729385	-0.38475125	5.525845	4.904436	-2.28954575	9.66798675	0.96859675	4.36348825	2.62641075	9.41128875	3.5140665	6.1328795	2.61368325	0.42761025	-0.57526725	-3.00955	2.46377575	7.10661775	3.0898505	2.35154425	7.470316	2.338764	-0.533172	6.69979975	0.7571315	-0.817949	4.2143845	4.07829325	1.32409625	5.4877715	5.3686195	6.70542125	1.5296075	4.68536825	1.07628975	2.34212975	0.731716	1.58443925	5.4714875	-3.16321875	2.68503725	3.32457475	1.444653	4.01499475
hsa-miR-769-3p-4395190	7.2192465	11.41083775	12.67482275	10.031002	11.6074085	11.43410875	10.647377	10.237486	11.10163825	9.66798675	10.98277975	12.00806525	10.64602075	12.08757875	10.1806885	14.7726155	-1.12349575	8.30013025	11.97071275	12.405432	11.36156275	10.59653775	13.7490455	9.58617225	10.190451	9.753856	11.346068	10.40658675	10.8479315	2.612585	11.8975895	13.73935725	11.41164925	14.9345215	12.3475595	14.52712625	10.3056085	11.56402225	5.04334775	12.79698475	10.432333	12.40792725	12.3630435	10.12416325	12.58160325	10.62627475	11.117313	9.75096475
hsa-miR-768-3p-4395188	1.7967795	3.86818775	3.10897775	4.528896	11.6074085	4.16934575	10.647377	10.237486	11.10163825	9.66798675	10.98277975	2.18783525	4.08405875	12.08757875	10.1806885	14.7726155	3.72403825	8.30013025	11.97071275	0.984562	3.92892675	10.59653775	13.7490455	2.63904725	10.190451	9.753856	4.858592	10.40658675	10.8479315	2.34004	5.3827735	2.49460025	3.63689225	5.9351265	12.3475595	4.69713425	10.3056085	11.56402225	12.22705975	12.79698475	2.124285	1.50381325	12.3630435	-0.83320375	2.36867825	10.62627475	0.911209	9.75096475
hsa-miR-767-5p-4395182	12.6826765	11.41083775	12.67482275	10.031002	11.6074085	11.43410875	10.647377	10.237486	11.10163825	9.66798675	10.98277975	12.00806525	10.64602075	12.08757875	10.1806885	14.7726155	11.88540825	8.30013025	11.97071275	12.405432	11.36156275	10.59653775	13.7490455	12.43686225	10.190451	9.753856	11.346068	10.40658675	10.8479315	11.725376	11.8975895	13.73935725	11.41164925	14.9345215	12.3475595	14.52712625	10.3056085	11.56402225	12.22705975	12.79698475	10.432333	12.40792725	12.3630435	10.12416325	12.58160325	10.62627475	11.117313	9.75096475
hsa-miR-767-3p-4395184	12.6826765	11.41083775	12.67482275	10.031002	11.6074085	11.43410875	10.647377	10.237486	11.10163825	9.66798675	10.98277975	12.00806525	10.64602075	12.08757875	10.1806885	14.7726155	11.88540825	8.30013025	11.97071275	12.405432	11.36156275	10.59653775	13.7490455	12.43686225	10.190451	9.753856	11.346068	10.40658675	10.8479315	11.725376	11.8975895	13.73935725	11.41164925	11.1059345	12.3475595	14.52712625	10.3056085	11.56402225	12.22705975	12.79698475	10.432333	12.40792725	12.3630435	10.12416325	12.58160325	10.62627475	11.117313	9.75096475
