Gene	TCGA-N5-A4R8-01A-11R-A28Z-13	TCGA-N5-A4RA-01A-11R-A28Z-13	TCGA-N5-A4RD-01A-11R-A28Z-13	TCGA-N5-A4RF-01A-11R-A28Z-13	TCGA-N5-A4RJ-01A-11R-A28Z-13	TCGA-N5-A4RM-01A-11R-A28Z-13	TCGA-N5-A4RN-01A-12R-A28Z-13	TCGA-N5-A4RO-01A-11R-A28Z-13	TCGA-N5-A4RS-01A-11R-A28Z-13	TCGA-N5-A4RT-01A-11R-A28Z-13	TCGA-N5-A4RU-01A-31R-A28Z-13	TCGA-N5-A4RV-01A-21R-A28Z-13	TCGA-N5-A59E-01A-11R-A28Z-13	TCGA-N5-A59F-01A-11R-A28Z-13	TCGA-N6-A4V9-01A-11R-A28Z-13	TCGA-N6-A4VC-01A-11R-A28Z-13	TCGA-N6-A4VD-01A-11R-A28Z-13	TCGA-N6-A4VE-01A-11R-A28Z-13	TCGA-N6-A4VF-01A-31R-A28Z-13	TCGA-N6-A4VG-01A-31R-A28Z-13	TCGA-N7-A4Y5-01A-12R-A28Z-13	TCGA-N7-A4Y8-01A-11R-A28Z-13	TCGA-N7-A59B-01A-11R-A28Z-13	TCGA-N8-A4PI-01A-21R-A28Z-13	TCGA-N8-A4PL-01A-11R-A28Z-13	TCGA-N8-A4PM-01A-11R-A28Z-13	TCGA-N8-A4PN-01A-11R-A28Z-13	TCGA-N8-A4PO-01A-11R-A28Z-13	TCGA-N8-A4PP-01A-11R-A28Z-13	TCGA-N8-A4PQ-01A-11R-A28Z-13	TCGA-N8-A56S-01A-11R-A28Z-13	TCGA-N9-A4PZ-01A-22R-A28Z-13	TCGA-N9-A4Q1-01A-11R-A28Z-13	TCGA-N9-A4Q3-01A-11R-A28Z-13	TCGA-N9-A4Q4-01A-11R-A28Z-13	TCGA-N9-A4Q7-01A-11R-A28Z-13	TCGA-N9-A4Q8-01A-31R-A28Z-13	TCGA-NA-A4QV-01A-11R-A28Z-13	TCGA-NA-A4QW-01A-11R-A28Z-13	TCGA-NA-A4QX-01A-11R-A28Z-13	TCGA-NA-A4QY-01A-11R-A28Z-13	TCGA-NA-A4R0-01A-11R-A28Z-13	TCGA-NA-A4R1-01A-11R-A28Z-13	TCGA-NA-A5I1-01A-21R-A28Z-13	TCGA-ND-A4W6-01A-11R-A28Z-13	TCGA-ND-A4WA-01A-12R-A28Z-13	TCGA-ND-A4WC-01A-21R-A28Z-13	TCGA-ND-A4WF-01A-11R-A28Z-13	TCGA-NF-A4WU-01A-11R-A28Z-13	TCGA-NF-A4WX-01A-11R-A28Z-13	TCGA-NF-A4X2-01A-11R-A28Z-13	TCGA-NF-A5CP-01A-12R-A28Z-13	TCGA-NG-A4VU-01A-11R-A28Z-13	TCGA-NG-A4VW-01A-11R-A28Z-13	TCGA-QM-A5NM-01A-11R-A28Z-13	TCGA-QN-A5NN-01A-11R-A28Z-13
hsa-let-7f-5p|MIMAT0000067	4165	4218	15075	1882	10909	7595	5280	1876	12367	5475	14492	16741	3315	16849	5891	2776	14229	7577	25494	3447	4239	1131	13099	10725	2980	10923	3772	25109	2778	10215	11512	26576	8092	5549	3335	7919	19599	17904	10802	6380	7575	13392	15346	6721	21163	18527	6608	5228	2516	7527	7120	10059	4707	11276	25104	34940
hsa-let-7f-1-3p|MIMAT0004486	1	4	4	1	5	2	NA	2	8	1	8	6	NA	11	1	4	6	7	9	1	2	1	8	7	1	14	1	4	NA	13	5	2	5	1	6	4	7	12	8	3	4	20	8	3	10	5	2	2	4	6	12	9	2	8	8	10
hsa-let-7f-2-3p|MIMAT0004487	2	1	3	1	4	NA	2	1	4	NA	5	2	3	3	1	1	2	10	7	3	NA	NA	16	NA	NA	2	3	1	NA	1	NA	11	4	2	NA	1	4	7	3	NA	NA	1	NA	1	3	4	1	3	NA	1	4	3	NA	NA	1	5
hsa-miR-15a-5p|MIMAT0000068	1897	757	2116	1406	1669	821	470	587	684	715	891	4610	1152	1248	931	365	1291	282	2136	1422	238	889	1743	846	901	697	1487	2256	535	1533	784	1013	437	911	889	793	1715	1198	1329	705	2378	620	1566	553	1873	1492	517	783	330	1562	1968	1441	844	1114	1816	2372
hsa-miR-15a-3p|MIMAT0004488	10	6	2	1	1	1	NA	3	1	2	4	2	2	1	2	NA	3	16	NA	3	2	3	7	1	NA	1	10	4	NA	3	NA	1	NA	2	4	NA	2	1	4	1	5	NA	4	2	5	4	3	1	NA	5	3	1	3	2	2	1
hsa-miR-16-5p|MIMAT0000069	2476	1437	3809	2755	2706	1958	1770	2486	2720	1499	1502	7039	1920	2112	2262	866	2297	945	3670	2836	340	1163	5214	1735	1928	1645	3921	5205	1347	1740	1358	2183	2254	1887	1956	1503	2037	5505	1416	1231	2552	1403	5985	790	2647	4007	788	1238	1036	2953	3447	2348	1046	2597	3140	2561
hsa-miR-16-1-3p|MIMAT0004489	66	46	54	25	37	18	11	25	11	20	40	140	37	23	22	9	19	17	33	34	13	17	26	11	24	13	57	37	14	37	33	9	9	33	23	20	32	26	46	19	48	17	27	12	50	46	18	42	6	72	39	24	19	13	24	34
hsa-miR-17-5p|MIMAT0000070	18264	7406	27214	7284	5207	2667	37612	15529	8944	5316	9233	53708	11893	8340	4134	10548	4979	7805	3818	25837	2255	7525	4958	3521	46816	23442	9869	14792	4881	8435	9731	8552	5509	12002	20282	8714	16573	6250	14336	6373	20499	3841	7917	6537	10225	9151	4253	9947	6448	19835	7662	2866	11899	4540	6951	4061
hsa-miR-17-3p|MIMAT0000071	4769	3249	7126	1017	1763	584	5130	2477	2080	1083	2298	16304	2601	2408	1351	1062	812	2243	791	5424	652	1608	1113	788	11373	3231	2290	3286	857	1272	1901	1872	1053	2406	2755	2560	3254	2555	4042	1873	4031	999	1332	930	2503	2540	1884	1366	2062	4844	1316	598	1585	1388	2041	1326
hsa-miR-18a-5p|MIMAT0000072	1184	865	943	562	417	74	943	1167	504	248	949	1260	1143	579	141	505	119	450	134	1456	220	324	184	175	1514	1018	560	564	228	527	383	234	600	604	1200	268	667	290	972	194	1496	131	252	729	670	308	128	300	549	1122	236	137	585	117	198	121
hsa-miR-18a-3p|MIMAT0002891	95	94	68	37	24	13	40	113	55	28	59	123	79	49	14	58	14	101	8	139	9	22	16	16	132	125	53	21	19	47	67	26	12	69	97	21	43	41	91	17	67	17	17	23	53	15	45	28	43	97	32	9	33	11	21	11
hsa-miR-19a-5p|MIMAT0004490	1	1	NA	1	NA	NA	3	2	1	NA	2	2	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	3	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
hsa-miR-19a-3p|MIMAT0000073	2810	1437	3075	1105	780	416	6369	2396	1729	631	1191	3871	2001	1305	728	899	532	1128	476	1664	439	1132	911	508	4715	2601	1303	1576	713	963	1091	1159	921	1542	1640	989	1570	1944	2854	668	2792	507	684	1261	1641	1407	723	1034	1467	2670	811	363	1423	612	879	474
hsa-miR-19b-1-5p|MIMAT0004491	158	132	234	49	87	14	482	176	119	46	93	331	114	81	70	30	42	41	26	172	18	56	53	17	428	154	103	89	35	46	92	48	51	97	107	109	132	129	211	78	122	42	30	25	61	98	29	44	83	250	56	23	39	32	51	25
hsa-miR-19b-3p|MIMAT0000074	6442	4627	7049	2606	1841	1100	18197	8162	4848	1425	3309	10167	4631	3729	3555	2729	1518	3628	1626	4992	1313	2270	2263	1092	15788	6662	3313	4669	1864	2331	2668	2837	2357	3587	3699	3000	4250	4901	5458	2140	5963	1488	1652	4078	4819	3247	1676	2451	3190	6339	1655	1184	3281	2126	2610	1470
hsa-miR-19b-2-5p|MIMAT0004492	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
hsa-miR-20a-5p|MIMAT0000075	15123	4739	25743	3965	4008	1594	39417	10947	6412	3177	5561	47730	7949	6592	3559	6485	3263	4550	2343	18411	1509	6325	3017	2296	41652	12652	5286	13157	3426	5961	7703	6042	3641	7922	10053	8272	13591	4480	13962	6517	15999	2391	5198	4032	7696	7866	2496	5793	3966	15099	3823	1783	7809	3570	6763	3548
hsa-miR-20a-3p|MIMAT0004493	217	163	188	61	46	35	380	261	107	42	92	392	91	53	130	110	54	597	20	176	59	66	64	30	590	193	147	113	74	45	97	76	76	121	197	55	111	194	196	53	117	55	49	65	141	102	298	101	79	178	56	15	74	65	40	13
hsa-miR-21-5p|MIMAT0000076	109699	330784	573458	441418	594560	329197	112944	135520	810409	169405	851736	1721833	179496	605099	2505777	752690	633989	367590	1309613	1492039	124482	63068	1171094	279896	805445	171266	163335	678885	361213	359243	907096	1147537	767156	499487	197989	835040	874165	486492	1130337	475319	425015	1434415	326009	294848	1403054	508888	965840	277589	386559	275524	1204331	602471	324414	181961	377861	1257678
hsa-miR-21-3p|MIMAT0004494	1295	6832	4803	9946	5388	3056	1466	2408	7302	2995	18083	12451	2269	1948	24974	9302	8838	5761	7956	16758	1134	362	9690	2041	8736	2870	2478	2322	6073	6483	3812	7940	17547	6376	2974	4973	13195	4066	7492	2339	5010	16001	2951	2175	8702	2013	13970	2939	5413	4274	26434	8622	2366	1569	1277	6976
hsa-miR-22-5p|MIMAT0004495	172	161	118	158	162	34	36	36	186	94	156	40	194	89	50	62	116	32	416	78	55	27	113	212	100	96	92	145	63	85	112	113	273	63	97	38	46	188	180	97	131	395	42	102	315	148	66	65	137	87	77	156	86	62	71	187
hsa-miR-22-3p|MIMAT0000077	175718	119281	203179	133314	213539	65059	50507	33943	133595	117245	262776	143135	235127	121214	85003	81284	175030	32406	522640	195300	157833	41336	136032	268692	150374	82415	178159	180867	120449	124953	212979	259364	217689	66902	162299	83693	90621	314330	457142	245513	154571	404052	124903	189863	340173	197306	129667	102837	75905	93407	167385	194786	158994	68746	126492	406577
hsa-miR-23a-5p|MIMAT0004496	1	8	3	13	9	NA	4	7	5	NA	39	3	5	4	2	3	13	5	7	5	7	NA	7	2	1	9	3	6	5	15	4	5	14	5	4	1	12	17	5	5	4	12	NA	3	3	2	8	7	3	3	2	3	1	8	5	13
hsa-miR-23a-3p|MIMAT0000078	3284	7143	6384	6205	10336	4265	7328	6580	4981	4573	17037	19866	9110	8340	5880	6393	10600	9350	9383	11919	7419	2033	27754	5529	4505	24167	7486	15140	9056	6586	9147	7852	9097	5137	12372	7061	8399	25149	11799	6845	6250	13401	12263	6134	13667	14471	8082	9858	4410	11974	11822	8168	6161	6607	10260	16061
hsa-miR-24-1-5p|MIMAT0000079	49	37	42	61	128	30	18	39	169	30	61	24	73	93	46	105	66	68	99	102	63	15	61	40	72	50	121	114	37	36	203	52	96	65	53	25	39	780	72	22	28	97	33	156	74	101	81	43	197	49	74	105	28	25	57	147
hsa-miR-24-3p|MIMAT0000080	3502	5893	4592	4357	5326	1768	2681	5498	6865	2488	17729	8421	4886	5499	3440	5243	3405	6695	5351	9499	6772	1022	10866	3737	4041	10113	5975	13454	5574	2905	4903	5066	10727	3153	8603	2731	4227	11539	5778	2733	5623	4591	6621	13275	8563	8967	4259	3808	4657	6346	4415	6303	4312	2780	4532	13313
hsa-miR-24-2-5p|MIMAT0004497	99	163	112	138	116	69	99	135	111	78	351	143	92	139	99	112	158	175	148	116	112	29	525	114	43	345	111	306	178	103	105	131	275	67	355	115	100	224	146	39	146	139	178	194	317	340	85	140	124	152	129	198	131	86	83	174
hsa-miR-25-5p|MIMAT0004498	NA	5	5	1	2	5	5	7	3	NA	1	2	2	NA	NA	1	2	2	3	10	NA	33	3	NA	1	2	2	4	2	NA	1	2	4	NA	1	3	3	6	1	4	NA	1	2	NA	1	1	NA	2	1	4	5	2	NA	2	4	NA
hsa-miR-25-3p|MIMAT0000081	63521	95882	147175	39052	58888	66854	36702	89039	64201	45599	55342	137847	51559	62917	51136	38391	61545	65809	68975	210220	18614	1230690	57725	47209	63664	50325	56587	138340	60327	28126	110253	135013	245382	38700	103203	53006	67835	169017	100357	28980	42653	39504	128716	60935	61413	131585	26809	55522	41829	119433	63781	29828	54880	45916	178366	44531
hsa-miR-26a-5p|MIMAT0000082	6725	15113	8216	5560	8201	4732	5837	13367	9694	2330	8633	13047	9710	11279	13173	5304	7203	12794	7075	11705	5502	2360	11294	2857	6476	3569	12254	13504	14659	6131	8884	8754	21601	6899	7173	5007	4212	15861	11586	5022	4951	5642	4594	24628	19092	13739	3381	4863	4541	11748	2906	4363	3944	7475	6916	4872
hsa-miR-26a-1-3p|MIMAT0004499	2	5	3	2	6	4	9	3	4	5	12	10	11	5	8	1	6	18	6	12	2	1	4	1	6	4	15	9	3	2	18	9	5	14	11	3	6	9	14	6	NA	7	2	1	6	19	8	6	8	15	6	3	2	5	NA	4
hsa-miR-26b-5p|MIMAT0000083	1976	9984	3348	2757	4385	2090	1240	6971	6542	779	2969	3652	2736	5432	5116	3550	4422	7162	2981	2965	2282	1183	5506	2330	4478	2901	3134	4537	4842	1939	2416	2880	7253	2827	2842	1848	1770	14695	2481	1161	3251	2431	7526	11570	8681	6273	2360	1859	4571	3593	1326	3897	1939	4660	3307	1953
hsa-miR-26b-3p|MIMAT0004500	53	217	122	89	197	99	51	152	196	64	133	138	70	137	129	98	138	192	97	108	70	36	191	74	131	93	167	87	152	70	92	62	178	189	109	42	67	534	90	40	83	74	210	159	116	186	75	79	149	159	37	113	52	118	53	52
hsa-miR-27a-5p|MIMAT0004501	3	25	17	19	11	4	28	25	3	12	189	55	11	10	27	15	30	21	11	26	8	3	124	6	14	41	12	77	30	81	19	3	70	14	16	33	180	41	29	12	22	16	28	7	20	23	18	11	2	40	6	23	5	14	11	24
hsa-miR-27a-3p|MIMAT0000084	1409	5879	2122	2478	3047	905	2391	5922	2499	1042	4751	4390	3667	3689	3447	3583	3963	8925	2547	3843	2426	663	12547	2679	1955	9268	1931	7535	5260	2256	2301	2452	4627	1596	4436	3500	2005	6730	3102	1355	2000	4277	3659	3874	7991	5101	3689	2366	1975	4243	2995	3383	1884	3340	2434	4692
hsa-miR-28-5p|MIMAT0000085	162	421	1000	270	689	256	382	275	547	244	465	750	749	383	308	183	277	350	426	376	240	91	1662	124	202	243	576	1838	185	282	623	565	1706	440	191	199	112	1190	235	222	284	348	192	495	358	1233	171	224	457	568	218	466	224	307	700	678
hsa-miR-28-3p|MIMAT0004502	6719	17785	32557	14091	29834	14038	15122	10020	17942	19942	14251	31452	31600	14051	10763	12529	14059	16385	21774	20694	11090	4246	38110	7142	10049	13307	22457	27121	11130	14372	30470	25816	43135	21558	7683	10143	4656	54397	14046	12536	7519	19407	5314	14581	14706	28795	12328	14324	18206	22691	14215	20799	10338	10379	21093	25520
hsa-miR-29a-5p|MIMAT0004503	6	19	25	24	15	26	13	17	66	4	49	45	15	35	19	75	18	10	53	22	4	17	35	29	8	9	11	35	55	15	51	47	22	34	11	48	32	39	20	6	21	25	17	15	35	137	31	18	247	10	15	42	16	20	23	69
hsa-miR-29a-3p|MIMAT0000086	1353	7973	7243	4824	4870	6377	4911	4669	9776	1305	7848	15242	4252	7715	6514	19180	4707	4579	13763	6947	1504	2844	7479	4280	2664	2329	2389	10477	14016	3064	9741	15379	7330	6821	3792	13006	10506	12197	6899	2354	4546	12531	6291	3995	11894	48931	11256	2915	46615	1711	5232	12143	2713	6086	4035	15922
hsa-miR-30a-5p|MIMAT0000087	148665	63899	146284	43443	169506	49427	57569	86933	138408	42219	130059	104576	61777	238979	26672	134190	187286	29343	125693	1041392	15684	10644	72332	69642	247729	64936	36288	176503	81651	101787	451360	99139	73107	153263	64263	194550	62590	52636	156509	96537	28167	281767	19906	55417	200085	175001	82877	74795	51502	44887	13288	15241	26458	125315	144320	51382
hsa-miR-30a-3p|MIMAT0000088	26846	11987	21910	11260	28279	8371	8604	14567	26616	10753	16078	20756	11477	28634	3807	20863	33939	8075	28014	159590	2031	2064	12466	10316	39558	13176	11004	20207	12342	15608	67602	13045	12278	26845	18387	20023	7504	9823	29097	13367	5485	51656	3793	6461	24922	27888	25910	17924	13313	8539	4215	2210	4531	15626	17944	7913
hsa-miR-31-5p|MIMAT0000089	12	12	130	46	29	3	10	158	95	68	154	12	53	29	149	102	2	41	8	61	1	52	1148	28	11	59	5	68	22	50	54	137	21	19	73	27	135	293	50	9	7	76	11	30	22	39	139	123	104	32	197	107	2	8	3	87
hsa-miR-31-3p|MIMAT0004504	1	11	116	37	11	NA	2	107	57	180	173	11	33	13	72	144	6	59	3	34	NA	68	461	37	7	78	1	15	18	28	32	145	7	10	41	30	196	117	18	6	3	109	4	15	21	18	550	136	112	18	142	81	NA	6	4	65
hsa-miR-32-5p|MIMAT0000090	94	178	240	68	175	100	53	77	190	32	144	235	163	149	50	90	121	86	74	390	105	29	187	57	121	125	74	159	58	42	68	95	290	71	106	103	43	51	70	30	57	150	65	137	146	129	49	73	244	145	89	114	64	77	115	65
hsa-miR-32-3p|MIMAT0004505	7	9	23	13	9	9	10	10	27	8	8	9	16	12	3	8	13	4	8	23	7	1	13	5	3	14	6	10	4	3	5	6	17	13	7	4	8	9	5	3	5	13	6	11	4	14	7	2	33	18	16	7	2	4	10	2
hsa-miR-33a-5p|MIMAT0000091	223	183	24	79	82	27	38	124	43	40	26	333	150	45	27	50	55	58	61	135	60	30	26	20	45	116	163	101	33	60	104	34	432	85	272	106	54	84	116	39	20	19	237	29	68	82	54	124	106	72	170	63	46	37	72	139
hsa-miR-33a-3p|MIMAT0004506	14	25	5	6	1	3	1	9	4	6	3	21	18	2	2	5	6	1	2	8	4	NA	3	3	2	9	13	8	1	2	2	1	14	13	14	2	3	4	10	4	1	2	9	6	5	4	2	4	11	3	9	3	2	4	2	4
hsa-miR-92a-1-5p|MIMAT0004507	54	56	90	27	20	10	365	130	11	21	38	84	72	7	53	30	24	25	6	114	7	19	44	4	164	55	59	43	15	35	70	16	32	73	66	43	59	122	166	52	43	25	27	24	18	45	21	18	15	122	42	13	28	16	9	11
hsa-miR-92a-3p|MIMAT0000092	255584	165692	322787	86579	94197	32370	570319	194764	149026	50978	144382	649816	187621	109330	93868	107420	61994	83403	65062	335781	62875	83607	51598	44877	829727	217489	226582	128448	56065	106182	137708	119503	71661	149980	184822	87549	142379	212668	350248	144223	274568	64583	112378	105097	111525	133089	46793	110153	117088	308196	98111	35403	113241	62377	107680	61235
hsa-miR-92a-2-5p|MIMAT0004508	NA	1	NA	NA	NA	NA	NA	NA	NA	5	1	2	NA	NA	NA	NA	NA	NA	6	1	1	NA	NA	NA	NA	1	2	1	NA	NA	NA	NA	NA	NA	NA	1	NA	1	1	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	2	2
hsa-miR-93-5p|MIMAT0000093	73793	49157	175107	45886	43552	59686	37608	83739	63806	50100	64292	185707	37431	68091	26779	55423	77804	60571	110153	193203	13975	2549777	62509	47807	74380	64097	40092	161538	80152	52563	142823	106583	143195	49269	103480	75212	117107	53913	68469	43673	62371	34078	150476	67616	56896	113945	37304	77243	55538	144799	51162	40950	61743	60520	243930	65527
hsa-miR-93-3p|MIMAT0004509	169	287	218	116	113	197	57	367	225	121	216	231	99	137	102	90	158	350	219	345	67	3466	188	131	151	216	231	228	257	84	280	150	445	152	300	106	164	294	131	107	81	92	214	198	165	217	263	262	190	346	109	69	161	120	265	74
hsa-miR-95-3p|MIMAT0000094	28	144	24	15	17	26	8	24	84	23	4	40	9	9	10	14	51	11	47	5	24	5	7	6	6	20	43	9	18	12	11	9	92	21	26	18	8	21	61	28	27	9	14	20	17	36	43	20	44	61	3	5	62	36	36	13
hsa-miR-96-5p|MIMAT0000095	404	3535	695	59	41	191	24	95	538	84	172	22	231	112	272	288	209	321	610	220	463	76	950	83	117	182	66	220	68	184	125	110	1518	59	881	156	426	99	710	382	19	176	1239	185	109	12	131	296	268	245	8	149	791	212	885	161
hsa-miR-96-3p|MIMAT0004510	2	15	4	NA	1	1	NA	NA	1	2	1	NA	NA	1	1	1	1	1	NA	NA	1	NA	3	NA	1	1	NA	NA	NA	2	NA	NA	4	NA	9	NA	3	NA	7	1	NA	NA	12	1	NA	NA	4	1	4	1	NA	1	NA	NA	1	NA
hsa-miR-98-5p|MIMAT0000096	73	113	185	44	393	198	95	24	268	138	606	236	80	476	102	65	323	404	504	44	126	16	453	350	44	394	68	281	94	402	213	675	215	153	96	64	576	505	224	92	291	182	424	155	441	322	164	241	43	162	218	273	73	155	411	767
hsa-miR-99a-5p|MIMAT0000097	4800	8685	12498	3003	17348	3176	1475	1704	2569	5010	4370	2834	5082	5124	2076	375	109	6630	20928	5832	9160	515	902	2114	1115	1703	4542	5317	1041	5714	7531	2580	5065	1752	4604	852	669	15179	3316	6900	2120	1713	24357	8140	9888	19394	840	1997	786	4076	7341	102	977	1015	10955	197
hsa-miR-99a-3p|MIMAT0004511	91	141	93	46	121	45	25	46	26	121	47	22	59	25	40	3	2	277	239	28	70	10	9	29	17	29	52	48	12	76	51	17	87	24	26	14	7	123	50	85	34	14	187	73	89	113	44	20	9	57	93	NA	8	8	100	3
hsa-miR-100-5p|MIMAT0000098	65132	11631	41833	9063	39753	4084	5838	6832	19959	20083	18389	63973	30530	21349	20492	3281	6779	7331	58928	16677	19388	1968	10130	8751	11735	7082	63449	19372	7537	22204	38605	13799	19310	18663	25954	1566	4840	36584	22623	21226	18984	23511	40839	12928	19857	51718	5782	31068	9422	26603	12341	8685	15294	4337	22899	30239
