Gene	TCGA-3X-AAV9-01A-72R-A41D-13	TCGA-3X-AAVA-01A-11R-A41D-13	TCGA-3X-AAVB-01A-31R-A41D-13	TCGA-3X-AAVC-01A-21R-A41D-13	TCGA-3X-AAVE-01A-11R-A41D-13	TCGA-4G-AAZO-01A-12R-A41D-13	TCGA-4G-AAZT-01A-11R-A41D-13	TCGA-W5-AA2G-01A-11R-A41D-13	TCGA-W5-AA2H-01A-31R-A41D-13	TCGA-W5-AA2I-01A-32R-A41D-13	TCGA-W5-AA2I-11A-11R-A41D-13	TCGA-W5-AA2O-01A-11R-A41D-13	TCGA-W5-AA2Q-01A-11R-A41D-13	TCGA-W5-AA2Q-11A-11R-A41D-13	TCGA-W5-AA2R-01A-11R-A41D-13	TCGA-W5-AA2R-11A-11R-A41D-13	TCGA-W5-AA2T-01A-12R-A41D-13	TCGA-W5-AA2U-01A-11R-A41D-13	TCGA-W5-AA2U-11A-11R-A41D-13	TCGA-W5-AA2W-01A-11R-A41D-13	TCGA-W5-AA2X-01A-11R-A41D-13	TCGA-W5-AA2X-11A-11R-A41D-13	TCGA-W5-AA2Z-01A-11R-A41D-13	TCGA-W5-AA30-01A-31R-A41D-13	TCGA-W5-AA30-11A-11R-A41D-13	TCGA-W5-AA31-01A-11R-A41D-13	TCGA-W5-AA31-11A-11R-A41D-13	TCGA-W5-AA33-01A-11R-A41D-13	TCGA-W5-AA34-01A-11R-A41D-13	TCGA-W5-AA34-11A-11R-A41D-13	TCGA-W5-AA36-01A-11R-A41D-13	TCGA-W5-AA38-01A-11R-A41D-13	TCGA-W5-AA39-01A-11R-A41D-13	TCGA-W6-AA0S-01A-11R-A41D-13	TCGA-WD-A7RX-01A-12R-A41D-13	TCGA-YR-A95A-01A-12R-A41D-13	TCGA-ZD-A8I3-01A-11R-A41D-13	TCGA-ZH-A8Y1-01A-11R-A41D-13	TCGA-ZH-A8Y2-01A-11R-A41D-13	TCGA-ZH-A8Y4-01A-11R-A41D-13	TCGA-ZH-A8Y5-01A-11R-A41D-13	TCGA-ZH-A8Y6-01A-11R-A41D-13	TCGA-ZH-A8Y8-01A-51R-A41D-13	TCGA-ZU-A8S4-01A-11R-A41D-13	TCGA-ZU-A8S4-11A-11R-A41D-13
hsa-let-7f-5p|MIMAT0000067	57159	43258	45678	21805	19835	24113	42153	11370	24456	60385	8917	8515	18780	41267	24839	30709	58791	22460	17945	43070	19218	23376	43969	17661	24018	30512	16192	17519	36022	13570	21335	30111	9102	33659	32535	36549	17137	28218	25827	23122	27699	11624	80431	22497	54259
hsa-let-7f-1-3p|MIMAT0004486	6	7	9	12	12	3	16	4	17	13	4	2	13	11	7	9	21	18	7	17	4	11	11	7	7	7	8	8	2	9	12	6	10	7	10	8	9	14	11	6	21	NA	10	16	15
hsa-let-7f-2-3p|MIMAT0004487	5	2	3	7	4	4	2	NA	3	2	1	1	5	10	4	2	8	5	6	5	3	6	1	1	3	5	2	5	6	3	2	10	NA	2	4	4	1	10	8	6	1	1	6	3	3
hsa-miR-15a-5p|MIMAT0000068	1085	969	1165	1140	592	1108	1079	527	904	2873	333	321	889	1829	542	913	1690	606	919	1015	541	941	554	786	988	649	699	604	1010	559	579	725	477	842	1077	571	741	1090	589	707	1072	1465	2074	719	1620
hsa-miR-15a-3p|MIMAT0004488	NA	NA	NA	2	NA	NA	4	1	NA	NA	NA	1	1	2	NA	1	1	1	NA	1	NA	NA	1	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	1	1	1	NA	1	NA	1
hsa-miR-16-5p|MIMAT0000069	1546	1697	1460	3250	2949	3224	2986	1467	3218	5113	721	1184	2561	2862	3507	1633	5482	2702	1637	3545	1483	2109	1481	2067	2303	1438	1356	2722	2580	1435	1951	2589	1146	1251	2746	2570	2578	2570	2184	2412	3068	2248	3017	1630	2432
hsa-miR-16-1-3p|MIMAT0004489	7	14	14	23	20	17	21	14	30	28	14	9	14	48	17	20	34	25	24	33	9	24	7	16	20	14	25	19	15	26	19	14	22	10	12	17	23	24	12	24	22	11	28	23	35
hsa-miR-17-5p|MIMAT0000070	1579	2616	1482	2563	1535	1342	1746	1132	1262	4224	956	961	1257	3497	1250	3007	3594	1285	2353	1609	3930	2235	1112	1640	3163	1837	1962	852	1489	2017	1938	803	1148	2235	1417	1561	903	2066	1765	2586	2585	586	2947	1248	2880
hsa-miR-17-3p|MIMAT0000071	1393	1277	1201	2155	1335	1119	2316	706	1371	3291	1068	562	1524	4184	1200	3652	2905	1246	2100	2458	2387	2672	776	606	2693	1933	2498	829	1170	2269	1569	1017	1130	960	1081	1701	683	1666	1915	2464	1829	493	2889	1224	3769
hsa-miR-18a-5p|MIMAT0000072	33	33	24	108	22	34	39	14	34	152	27	13	23	36	28	29	88	41	18	30	106	22	19	45	37	63	22	36	25	16	25	12	27	38	45	34	60	68	41	45	43	9	85	32	30
hsa-miR-18a-3p|MIMAT0002891	4	1	7	10	4	6	4	2	3	7	1	1	7	4	2	2	5	3	2	3	8	2	1	5	2	6	4	1	2	3	3	3	10	1	7	1	7	5	10	4	5	1	5	7	2
hsa-miR-19a-5p|MIMAT0004490	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	1	NA	NA	2	NA	NA	NA	1	1	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-19a-3p|MIMAT0000073	264	275	173	100	58	217	93	50	82	356	47	59	60	181	69	144	177	67	123	88	126	119	178	207	142	126	90	68	92	87	63	59	43	200	188	59	81	101	122	116	83	93	366	68	175
hsa-miR-19b-1-5p|MIMAT0004491	26	45	45	48	39	42	70	27	29	84	31	17	50	101	51	97	96	34	75	105	60	62	19	19	93	54	58	28	32	64	65	36	20	31	30	32	26	54	61	99	57	10	68	51	83
hsa-miR-19b-3p|MIMAT0000074	838	951	704	720	400	993	695	275	587	1301	233	250	619	915	480	782	874	326	924	583	718	783	670	691	913	686	468	410	471	479	489	293	204	686	737	394	433	699	484	627	674	236	1159	371	784
hsa-miR-19b-2-5p|MIMAT0004492	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-20a-5p|MIMAT0000075	1826	3349	1603	1702	1159	1366	1421	961	1407	5000	748	967	1227	4941	1387	3135	3406	1324	3145	1923	3301	2014	1214	1075	2934	1697	1880	933	1606	1818	1413	769	672	2364	1749	1712	848	1896	1441	3383	1831	613	4644	1368	3279
hsa-miR-20a-3p|MIMAT0004493	17	16	26	28	18	37	17	8	15	17	19	5	27	43	18	38	28	10	44	10	45	33	22	20	71	20	21	20	20	20	25	6	37	19	23	13	16	35	19	16	13	13	17	16	31
hsa-miR-21-5p|MIMAT0000076	4399666	2490868	3730128	856862	1716815	4377105	2347686	1451439	662599	6045289	128246	820832	1359159	735112	1232237	400572	4199095	2852982	229794	3823723	1279782	710138	3869303	1554268	488700	2951705	312605	1036818	2298989	199803	1101608	2353866	694276	2203192	2183754	2927251	2476083	3314997	3457068	4352479	2927453	604717	10011897	2096985	626777
hsa-miR-21-3p|MIMAT0004494	6681	3748	8267	5772	7958	12617	13896	5732	2316	6068	1090	2403	4119	3100	3378	12976	12371	21175	3226	16212	4977	4625	6327	5321	3900	11589	3946	5704	6519	2043	6093	6835	2756	4572	7019	5372	13335	17007	13049	16662	9316	1401	9671	9176	9572
hsa-miR-22-5p|MIMAT0004495	222	164	262	109	76	227	222	77	72	410	146	36	121	153	95	156	263	165	54	165	86	180	188	149	150	156	327	131	139	183	167	190	119	130	137	164	317	122	112	180	118	100	179	233	518
hsa-miR-22-3p|MIMAT0000077	796770	680993	705640	354031	323769	417461	601556	289057	196238	792929	618317	107889	298920	1352407	382094	1411351	597314	563457	527142	510008	200336	977968	531167	311915	940668	614874	1067843	355076	414618	1090883	401662	444209	913515	529106	408104	612333	645218	390231	414469	440839	409103	585031	948876	609598	2110039
hsa-miR-23a-5p|MIMAT0004496	7	14	9	7	15	3	21	15	4	9	NA	2	11	2	23	7	11	43	11	18	1	5	4	8	4	4	14	21	10	3	8	8	5	30	9	9	25	20	2	18	13	7	6	7	5
hsa-miR-23a-3p|MIMAT0000078	22583	23646	28179	12160	28066	17792	28054	13606	7705	36330	2543	5648	36935	11452	28083	7058	54077	23059	7840	18217	7483	11820	30713	22344	12140	28983	5404	15991	24449	4888	19210	24484	6642	33099	19018	18002	36431	36684	34413	21825	41490	12222	38595	24041	11396
hsa-miR-24-1-5p|MIMAT0000079	108	150	145	23	120	95	170	38	21	123	92	31	63	139	85	142	74	55	91	49	21	186	92	103	140	36	114	60	24	130	131	91	22	72	119	62	88	63	77	22	151	378	69	33	149
hsa-miR-24-3p|MIMAT0000080	9444	6515	10004	5165	7446	8417	15561	3760	2575	16152	2206	2129	7660	7032	7031	4647	17822	9852	2937	5879	4803	6114	8563	5738	4360	7503	3036	5488	7947	2966	6065	7520	3136	8062	5377	8890	9279	18005	6628	6674	17208	11623	14969	7309	7532
hsa-miR-24-2-5p|MIMAT0004497	196	117	266	41	78	155	238	43	52	260	7	34	130	53	83	33	222	126	25	50	49	69	191	190	62	78	18	105	82	18	56	75	33	135	127	112	209	207	101	87	191	45	153	103	58
hsa-miR-25-5p|MIMAT0004498	NA	1	NA	NA	NA	1	NA	1	2	1	NA	2	NA	NA	NA	1	2	1	NA	1	1	NA	NA	1	NA	NA	NA	NA	1	NA	1	NA	NA	NA	NA	2	NA	2	4	1	2	NA	1	NA	NA
hsa-miR-25-3p|MIMAT0000081	56736	34902	40960	29865	29621	35262	58486	14190	27632	85880	8485	21837	25860	23144	22577	21573	115969	43357	14875	25528	33996	18973	31689	47453	24511	20554	17609	37379	37071	12350	23865	20218	15103	26399	42714	29553	28815	45055	53956	22996	45435	14696	54727	17909	22046
hsa-miR-26a-5p|MIMAT0000082	19475	10232	14521	7250	9537	19363	23609	3133	19170	26058	3470	3172	15122	18416	12253	12345	23105	11357	12324	14563	3014	10723	20540	11128	15334	7650	5720	11380	10725	5836	7025	8533	1893	7783	14544	14997	9338	16429	10355	6825	20254	11206	27242	6108	15807
hsa-miR-26a-1-3p|MIMAT0004499	4	6	7	15	4	7	17	3	NA	10	5	2	13	3	1	5	6	6	6	8	1	6	11	7	6	6	6	5	5	2	5	1	3	5	5	2	10	19	6	2	8	6	2	4	9
hsa-miR-26b-5p|MIMAT0000083	3101	3190	4976	2154	2083	6724	7676	1297	3248	6168	2130	597	5347	6076	2655	5250	6538	2506	3725	1955	1923	4172	5206	4763	6768	1438	3171	3193	2389	2537	1439	1377	1767	2691	5824	2075	3142	5703	3377	1567	4443	3069	5389	1572	6418
hsa-miR-26b-3p|MIMAT0004500	33	84	70	159	152	115	233	60	138	82	110	24	263	193	119	215	326	128	175	103	81	217	104	130	347	80	152	119	95	159	100	79	92	45	134	66	177	232	241	78	163	98	85	74	235
hsa-miR-27a-5p|MIMAT0004501	19	19	83	25	12	45	108	12	10	21	1	5	30	15	45	16	126	122	27	76	6	14	35	18	7	36	15	93	71	8	22	24	2	66	42	19	80	219	4	33	38	39	74	74	25
hsa-miR-27a-3p|MIMAT0000084	7391	6307	13268	4671	7433	12560	15167	2663	2963	14924	623	2000	10341	3520	7482	1660	18562	8549	1814	7364	3851	3532	13160	7795	3124	9792	1322	7454	8342	838	4282	7600	2235	8442	7145	6954	14245	18850	7470	9548	12037	3052	11968	9689	3276
hsa-miR-28-5p|MIMAT0000085	467	555	453	747	348	470	959	356	436	1035	268	142	383	1373	356	984	1172	683	749	636	446	827	405	404	920	374	558	337	852	566	368	608	319	523	472	702	462	825	522	438	883	583	959	495	1358
hsa-miR-28-3p|MIMAT0004502	25396	13896	17155	24254	11691	16314	22089	9525	11900	21180	7585	5040	8043	20546	6843	21383	19190	20702	15456	12597	11506	17527	12710	16217	24837	9579	13456	8949	13832	13966	9541	10529	10380	13066	14588	11163	13088	17534	18351	12031	21318	12728	14846	15521	20617
hsa-miR-29a-5p|MIMAT0004503	28	41	42	48	66	34	91	57	54	78	13	10	44	45	51	53	47	63	48	61	20	40	35	32	45	36	16	31	39	37	23	43	19	43	42	44	33	34	113	50	47	21	80	57	45
hsa-miR-29a-3p|MIMAT0000086	64170	28701	40743	31139	35004	92511	88584	25281	62607	47460	9355	14979	27104	57226	48314	31271	27779	51113	36878	80941	17937	48463	30602	23625	43112	18457	17697	33217	30343	17188	24963	54051	10852	29124	41265	58070	26327	44827	36976	52316	38284	12428	70304	33611	39880
hsa-miR-30a-5p|MIMAT0000087	184338	297553	133198	214024	587103	920727	624855	239759	47892	375847	55109	75618	173417	136301	404466	112248	239362	389838	84981	392093	48664	111388	167842	120864	119567	31033	89357	133223	126995	89987	252234	210074	41287	213595	424000	244819	207125	85075	309678	366863	222777	159687	225338	83788	155609
hsa-miR-30a-3p|MIMAT0000088	37523	44793	22841	37586	112028	92255	106761	51978	10491	42904	17663	11122	41484	37402	80654	38057	45178	64324	25582	68104	11826	35054	23246	26208	42715	7601	33359	28050	19752	33829	48808	31682	10627	27694	72231	35391	48212	13399	71435	66456	40011	33832	22125	22309	42302
hsa-miR-31-5p|MIMAT0000089	25	6	362	5	5	1	1	1	15	2	NA	NA	1	2	1	NA	NA	4	2	2	49	3	12	5	4	2	NA	8	NA	NA	1	NA	NA	26	1	4	2	3	NA	8	1	NA	4	220	NA
hsa-miR-31-3p|MIMAT0004504	32	4	386	4	8	2	NA	NA	13	2	NA	1	4	4	2	NA	1	2	NA	NA	36	1	11	6	4	2	NA	7	NA	NA	4	NA	NA	18	6	NA	NA	1	NA	7	NA	NA	1	187	1
hsa-miR-32-5p|MIMAT0000090	120	130	151	269	86	252	260	70	254	204	65	89	167	222	143	153	397	97	124	128	167	221	98	122	183	275	132	147	286	70	266	129	104	103	200	99	77	170	139	97	134	212	180	110	234
hsa-miR-32-3p|MIMAT0004505	5	3	2	7	2	5	8	4	6	6	2	NA	5	6	5	5	9	6	4	4	7	3	3	7	10	13	3	5	10	1	4	2	3	2	5	3	2	3	10	2	2	4	3	3	4
hsa-miR-33a-5p|MIMAT0000091	13	101	73	143	91	61	245	72	179	149	111	54	196	111	78	118	151	148	121	96	126	253	29	271	267	94	124	166	63	139	141	65	83	22	208	89	165	141	137	58	273	37	66	55	106
hsa-miR-33a-3p|MIMAT0004506	6	6	3	6	4	6	3	7	10	6	10	4	15	17	6	17	20	4	16	6	8	32	4	13	26	15	15	5	1	19	14	6	8	2	4	4	5	4	4	6	16	5	6	7	18
hsa-miR-92a-1-5p|MIMAT0004507	11	16	9	8	4	22	23	4	24	5	4	4	4	5	8	9	12	8	10	14	6	4	7	9	8	7	3	6	2	4	11	2	NA	4	13	5	5	17	6	14	11	6	12	11	9
hsa-miR-92a-3p|MIMAT0000092	50220	78820	44812	86429	46761	65757	44124	30822	39278	72365	40548	22288	58278	103206	46614	104822	90149	42796	75034	75125	102166	70071	35999	37105	112347	58762	71302	30941	52552	79048	39915	18273	28849	56738	49105	42593	40615	61802	59070	75407	105776	18387	59724	32897	87676
hsa-miR-92a-2-5p|MIMAT0004508	NA	NA	NA	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-93-5p|MIMAT0000093	22516	24483	32498	25298	20895	8948	29945	12119	12580	61369	4717	12761	11401	17952	10807	12424	65664	21997	9349	10591	35672	12721	14935	23514	12349	14638	10989	14478	19635	8899	16207	13265	12072	21316	17560	14575	13520	30170	26764	15785	23553	15652	27692	12318	16324
hsa-miR-93-3p|MIMAT0004509	21	28	51	41	46	32	77	20	15	72	13	12	31	27	19	15	100	40	20	21	57	26	21	78	35	32	15	36	29	13	36	24	80	27	45	26	31	52	83	19	39	39	37	31	27
hsa-miR-95-3p|MIMAT0000094	22	16	34	5	47	23	25	23	10	40	6	4	28	24	42	4	162	59	10	12	43	6	37	107	20	5	12	7	53	4	12	9	7	124	40	9	3	24	28	63	53	50	107	38	28
hsa-miR-96-5p|MIMAT0000095	51	194	55	32	87	187	233	95	8	486	2	63	114	4	47	4	354	77	3	133	203	19	68	131	NA	122	2	94	169	1	159	228	45	158	140	77	58	205	165	91	208	128	253	24	6
hsa-miR-96-3p|MIMAT0004510	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	NA	NA	1	NA	1	NA	NA	NA	1	NA	NA	NA	NA	1	NA	NA	1	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	3	NA	NA	1	NA	NA
hsa-miR-98-5p|MIMAT0000096	301	208	236	531	296	105	412	183	231	380	73	36	131	250	188	193	788	264	141	156	251	173	196	194	181	253	140	179	412	117	195	280	107	166	186	241	209	418	548	247	261	49	466	178	336
hsa-miR-99a-5p|MIMAT0000097	4823	2162	3967	243	1811	1134	4312	1497	2339	4582	3801	363	2426	15495	4065	13034	1099	3049	9702	1315	638	9057	5441	2297	10895	1298	7260	2735	2139	7953	941	635	1362	1333	3049	4705	1392	4282	2243	1438	1542	1720	5113	1681	18945
hsa-miR-99a-3p|MIMAT0004511	13	6	12	2	4	7	21	6	4	14	8	3	12	43	10	48	4	14	33	1	2	39	7	11	36	6	28	8	2	20	3	3	1	2	12	10	7	12	4	7	2	7	14	5	50
hsa-miR-100-5p|MIMAT0000098	83296	29777	47499	3207	26001	15141	62637	11932	32482	66056	25207	2953	28156	70883	62957	76045	10463	40215	31682	21742	9582	58220	57819	22595	38203	12908	39272	65883	3831	42836	10814	8396	15280	17620	33508	61270	27923	26419	29706	11038	52636	18177	47434	64319	77794
hsa-miR-100-3p|MIMAT0004512	2	NA	1	NA	1	2	2	3	3	3	3	1	3	2	2	1	1	1	NA	NA	NA	1	1	4	3	NA	1	3	NA	2	1	NA	3	NA	NA	1	3	NA	NA	NA	1	1	1	12	6
hsa-miR-101-5p|MIMAT0004513	35	38	56	31	44	32	105	13	66	35	19	5	27	91	45	56	54	53	69	15	7	61	84	57	66	13	30	46	60	45	11	22	7	23	37	24	39	54	38	16	23	16	66	12	63
hsa-miR-101-3p|MIMAT0000099	65493	44322	60657	41288	63901	38946	130561	41122	203774	72201	88417	16524	47282	383172	91819	331453	98175	70077	238861	41455	29475	187872	64351	38660	277128	38868	161625	86172	94372	160955	22789	56689	30131	33036	82780	58490	43109	76554	92211	42913	37261	46220	109651	36355	345764
hsa-miR-29b-1-5p|MIMAT0004514	16	9	21	28	23	35	47	17	29	20	3	6	9	20	25	47	13	17	22	68	2	8	18	17	19	9	6	14	8	15	26	24	3	25	40	12	18	19	23	33	14	11	33	24	37
hsa-miR-29b-3p|MIMAT0000100	4714	5918	5550	4798	6200	9019	8031	4064	7937	4386	1104	3852	2228	4894	5336	3712	1903	5860	4342	10539	1945	5936	2340	4840	5758	2911	1788	3008	2053	2318	3001	8036	1889	5289	8357	4851	2817	3401	3241	6120	4459	3603	7916	4252	3705
hsa-miR-29b-2-5p|MIMAT0004515	119	49	144	113	142	57	205	38	98	94	56	23	164	155	76	126	117	109	99	133	61	112	100	99	151	56	98	68	49	94	43	102	121	60	105	58	73	149	257	54	180	369	204	77	183
hsa-miR-103a-2-5p|MIMAT0009196	8	6	9	5	2	10	5	2	8	24	NA	4	4	4	3	3	14	4	1	1	7	2	12	10	5	6	NA	3	2	4	3	1	NA	4	6	4	10	4	4	9	4	5	16	2	2
hsa-miR-103a-3p|MIMAT0000101	159924	93083	115367	49938	63885	57138	98673	50203	67639	186984	34983	28304	39186	112294	51259	88449	138197	75318	59907	76805	70675	76769	68569	65163	79564	77611	66658	46625	55982	73918	57159	62592	61494	57733	70798	65600	47146	92246	80386	52023	72085	85547	201208	59547	120648
hsa-miR-105-5p|MIMAT0000102	1	NA	2	NA	NA	NA	1	2	6	1	1	NA	NA	NA	NA	NA	3	7	NA	4	777	NA	NA	NA	NA	NA	NA	NA	1	NA	4	2	2	NA	NA	NA	NA	NA	3042	NA	2	1	NA	NA	NA
hsa-miR-105-3p|MIMAT0004516	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA
hsa-miR-106a-5p|MIMAT0000103	22	59	43	756	19	36	27	14	54	104	11	21	17	26	16	15	36	67	21	97	98	26	62	50	24	33	14	22	26	12	24	17	9	34	34	27	34	51	17	54	12	38	115	9	31
hsa-miR-106a-3p|MIMAT0004517	NA	NA	NA	13	NA	NA	NA	NA	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	2	NA	2	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	2	NA	NA	NA
hsa-miR-107|MIMAT0000104	211	290	300	307	288	274	361	139	235	928	209	100	181	618	228	462	746	483	265	555	278	406	181	203	402	271	405	220	275	393	302	573	376	215	224	645	202	330	323	243	416	248	958	230	787
hsa-miR-16-2-3p|MIMAT0004518	26	28	26	65	61	47	33	24	31	99	10	31	27	31	85	19	67	63	16	81	19	34	28	27	20	27	22	57	55	14	34	82	82	31	42	40	67	47	38	74	46	16	54	46	30
hsa-miR-192-5p|MIMAT0000222	10158	52468	36799	337785	14916	137387	72150	57009	6634	76707	111285	37050	30314	276114	37097	291805	137357	11674	194967	126521	20174	179917	15318	29168	249516	26974	192032	42042	18116	234940	124806	134803	107746	22428	55156	85545	58767	33104	79744	60417	54359	60653	53640	31069	349212
hsa-miR-192-3p|MIMAT0004543	21	170	216	1569	81	571	265	176	23	420	318	164	152	1151	199	1194	635	53	857	464	70	856	43	87	1061	135	758	191	90	598	531	679	485	87	193	272	300	125	315	185	188	180	289	114	1433
hsa-miR-196a-5p|MIMAT0000226	450	1	78	2509	8	321	212	7	51	10	NA	NA	5	12	15	6	24	5	11	81	1328	1	5	9	11	2	3	4	2	1	333	6	4	320	11	8	489	2	4	437	3	1	5	8	9
hsa-miR-197-3p|MIMAT0000227	1000	1333	1342	1669	958	2256	2330	1129	988	2252	536	450	1283	1549	915	1369	4756	1995	1117	574	1543	1499	1167	1718	1778	1090	1376	845	1989	1187	833	1090	604	769	1158	931	1381	1754	3094	1665	1227	721	3455	1407	1877
hsa-miR-198|MIMAT0000228	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
