Gene	TCGA-FA-8693-01A-11R-2401-13	TCGA-FA-A4BB-01A-11R-A31S-13	TCGA-FA-A4XK-01A-11R-A31S-13	TCGA-FA-A6HN-01A-11R-A31S-13	TCGA-FA-A6HO-01A-11R-A31S-13	TCGA-FA-A7DS-01A-11R-A38N-13	TCGA-FA-A7Q1-01A-11R-A38N-13	TCGA-FA-A82F-01A-11R-A38N-13	TCGA-FA-A86F-01A-11R-A38N-13	TCGA-FF-8041-01A-11R-2212-13	TCGA-FF-8042-01A-11R-2212-13	TCGA-FF-8043-01A-11R-2212-13	TCGA-FF-8046-01A-11R-2212-13	TCGA-FF-8047-01A-11R-2212-13	TCGA-FF-8061-01A-11R-2212-13	TCGA-FF-8062-01A-11R-2212-13	TCGA-FF-A7CQ-01A-11R-A38N-13	TCGA-FF-A7CR-01A-11R-A38N-13	TCGA-FF-A7CW-01A-11R-A38N-13	TCGA-FF-A7CX-01A-12R-A38N-13	TCGA-FM-8000-01A-11R-2212-13	TCGA-G8-6324-01A-11R-2212-13	TCGA-G8-6325-01A-11R-2212-13	TCGA-G8-6326-01A-11R-2212-13	TCGA-G8-6906-01A-11R-2212-13	TCGA-G8-6907-01A-11R-2212-13	TCGA-G8-6909-01A-11R-2212-13	TCGA-G8-6914-01A-11R-2212-13	TCGA-GR-7353-01A-11R-2212-13	TCGA-GR-A4D4-01A-11R-A31S-13	TCGA-GR-A4D5-01A-11R-A31S-13	TCGA-GR-A4D6-01A-11R-A31S-13	TCGA-GR-A4D9-01B-11R-A31S-13	TCGA-GS-A9TQ-01A-11R-A38N-13	TCGA-GS-A9TT-01A-11R-A38N-13	TCGA-GS-A9TU-01A-11R-A38N-13	TCGA-GS-A9TV-01A-11R-A38N-13	TCGA-GS-A9TW-01A-11R-A38N-13	TCGA-GS-A9TX-01A-11R-A38N-13	TCGA-GS-A9TY-01A-11R-A39J-13	TCGA-GS-A9TZ-01A-11R-A39J-13	TCGA-GS-A9U3-01A-11R-A39J-13	TCGA-GS-A9U4-01A-11R-A39J-13	TCGA-RQ-A68N-01A-11R-A31S-13	TCGA-RQ-A6JB-01A-11R-A31S-13	TCGA-RQ-AAAT-01A-11R-A39J-13	TCGA-VB-A8QN-01A-11R-A38N-13
hsa-let-7f-5p|MIMAT0000067	22349	59522	44578	62667	138388	52856	106687	211363	73870	31375	34013	53124	25877	34330	31970	33700	51921	179315	52328	80117	34312	45174	26076	65136	47414	43570	12338	33805	16344	61182	177177	191902	56951	29218	80350	100045	51446	26579	151062	25657	17852	42982	15544	48185	50748	30435	24375
hsa-let-7f-1-3p|MIMAT0004486	11	4	4	11	5	23	31	36	14	12	12	32	3	13	24	8	3	41	17	47	14	10	11	25	14	8	9	14	7	10	7	17	1	7	20	18	6	6	10	7	5	11	10	3	12	5	10
hsa-let-7f-2-3p|MIMAT0004487	2	2	3	2	3	5	12	8	5	10	1	8	2	4	2	9	1	6	3	33	5	18	5	28	2	8	2	5	2	6	4	3	1	6	8	5	2	2	10	1	NA	12	6	1	2	2	9
hsa-miR-15a-5p|MIMAT0000068	1220	599	484	1788	2002	5417	4325	7479	4864	1539	1599	1481	677	1528	2075	1276	3079	8228	4006	7947	1042	1957	1095	2808	1555	1005	618	1343	977	1638	1417	2200	871	2844	6274	4531	2039	1529	3758	1003	1286	2682	2088	1529	1812	1163	1656
hsa-miR-15a-3p|MIMAT0004488	NA	2	1	2	2	2	4	10	2	1	NA	3	3	6	6	3	1	3	4	5	3	5	2	5	NA	1	2	4	2	NA	NA	5	2	3	7	3	NA	NA	3	NA	1	1	2	NA	2	NA	1
hsa-miR-16-5p|MIMAT0000069	3598	2095	1730	4315	4569	7440	8146	9276	9016	5215	5289	8356	2550	6241	6926	5653	3212	10301	5016	30106	2477	11933	4025	11826	7204	7396	3811	2265	6324	5265	2937	7307	1789	5449	6911	9485	3334	2883	9419	2527	3485	5656	6567	3749	6760	1748	3899
hsa-miR-16-1-3p|MIMAT0004489	46	17	24	46	61	179	137	232	74	83	42	60	52	78	101	56	68	386	150	335	43	64	26	56	60	39	46	62	27	32	47	92	49	130	231	146	43	18	160	32	55	54	27	115	60	78	50
hsa-miR-17-5p|MIMAT0000070	6277	3121	3695	6079	2253	13963	15043	10480	8926	3670	4573	12761	4601	4125	17513	3671	6397	14229	8101	14676	1889	1834	2781	2329	3388	1626	8116	2703	11908	2171	3915	3831	3283	12140	18570	7701	2697	3830	11801	1917	1267	3810	4752	3704	3614	4506	6171
hsa-miR-17-3p|MIMAT0000071	3508	1537	1700	4542	1879	12385	15408	11487	5294	5163	5494	10866	4852	4961	18656	4305	5708	13269	5912	16434	1680	1967	2852	2760	3530	2239	5209	2615	9449	1861	2644	1956	1850	8901	12914	6178	1622	2501	11268	935	741	2393	1915	2232	2146	3026	5570
hsa-miR-18a-5p|MIMAT0000072	169	185	80	293	33	584	295	381	443	95	83	346	122	62	345	97	205	331	217	447	40	64	90	254	137	30	431	54	322	99	144	38	89	347	266	134	75	109	199	39	23	84	470	104	169	107	254
hsa-miR-18a-3p|MIMAT0002891	14	6	12	23	2	26	22	11	25	26	12	40	25	7	44	19	12	41	20	42	4	7	12	19	20	11	142	6	49	4	15	6	7	78	37	13	8	7	33	3	3	5	20	5	14	13	18
hsa-miR-19a-5p|MIMAT0004490	1	NA	NA	NA	NA	NA	1	NA	1	2	1	1	NA	2	1	NA	NA	NA	1	2	NA	1	1	1	1	NA	3	NA	NA	NA	2	NA	NA	1	NA	NA	1	1	NA	1	NA	NA	1	NA	1	2	1
hsa-miR-19a-3p|MIMAT0000073	239	196	307	545	150	954	1058	822	954	163	119	740	134	113	474	145	560	1092	618	793	42	107	112	302	189	74	443	90	202	186	376	205	172	814	645	401	392	265	768	254	194	377	863	211	306	668	609
hsa-miR-19b-1-5p|MIMAT0004491	98	29	60	108	51	204	514	240	169	175	90	341	186	102	482	126	151	315	151	408	43	52	54	73	77	52	180	70	180	23	52	71	56	208	431	163	84	68	275	35	29	51	53	71	64	227	122
hsa-miR-19b-3p|MIMAT0000074	684	983	1005	2033	622	2454	3225	2622	2473	478	558	3504	405	707	1892	591	1064	3615	2891	5358	390	655	478	1579	859	424	1637	428	1315	823	977	1057	547	4043	3690	1664	1113	893	3505	612	653	1093	2584	676	1076	1543	2533
hsa-miR-19b-2-5p|MIMAT0004492	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-20a-5p|MIMAT0000075	3694	2547	2989	6446	2116	14516	18319	12879	9182	2586	2778	9040	3442	2582	10418	2451	7832	18805	9410	14221	1407	1340	1573	1760	2147	885	4385	2215	5277	1985	3931	2974	2381	10552	22278	9247	3147	3707	15609	2247	1463	3659	3698	3562	2494	6904	4824
hsa-miR-20a-3p|MIMAT0004493	24	11	33	41	25	42	127	51	53	34	68	221	30	32	148	48	28	72	43	166	13	30	29	60	34	15	60	13	84	21	26	52	28	102	108	52	18	10	72	11	3	32	42	26	25	36	127
hsa-miR-21-5p|MIMAT0000076	1588259	1182032	1229109	1163061	1340466	2933141	1214129	7959412	3746583	3333432	1439340	1039157	361764	338658	1143270	1262872	1822235	7273601	1282185	2086997	466887	1096701	2487141	5325072	1872509	369577	1066605	1035194	629634	1072169	2000892	785423	648104	579259	1846712	2799431	2996481	2098866	3422456	1201616	2549370	2265507	1739694	1754912	1244680	816089	1113792
hsa-miR-21-3p|MIMAT0004494	26563	8674	19673	14482	6354	24946	3148	17289	7438	57145	11202	13301	2407	4051	15762	12792	5897	19322	5742	9635	3007	6878	26600	25816	16873	3099	31721	8893	6464	8314	8752	5911	8794	1945	7196	7719	8016	8889	7256	8257	6851	5830	19441	13472	14584	4881	11019
hsa-miR-22-5p|MIMAT0004495	124	246	87	170	54	97	122	499	240	72	93	231	27	25	111	118	41	213	97	282	49	94	236	725	86	48	149	92	77	156	98	59	35	94	92	213	142	53	101	38	72	140	340	119	187	41	170
hsa-miR-22-3p|MIMAT0000077	300562	228833	177961	237440	140504	245324	411266	1406912	431856	442292	419809	435114	153139	126166	348231	446822	152407	706416	187830	389798	114039	209663	674784	881433	371528	154230	277776	276360	226518	430031	305212	153683	100167	162802	218160	765099	319374	208222	286223	133022	253009	376934	233039	237442	286623	112601	321255
hsa-miR-23a-5p|MIMAT0004496	NA	1	10	6	3	4	11	6	1	2	1	13	NA	4	1	2	2	8	11	1	1	8	6	6	NA	3	3	3	13	6	2	10	1	3	NA	19	1	2	13	1	2	5	13	2	5	1	12
hsa-miR-23a-3p|MIMAT0000078	9663	6854	9159	10526	5954	5047	17637	34817	11378	16447	18183	13919	4238	6709	11434	22498	4157	23285	8080	16214	6845	15553	23287	24246	19077	8289	10014	11034	10760	8856	10072	7883	2571	9736	10517	22767	9875	8401	16988	4591	9317	14021	7182	4416	7574	3121	6076
hsa-miR-24-1-5p|MIMAT0000079	16	15	8	14	5	15	23	96	18	12	16	45	8	7	20	16	3	14	9	44	9	32	7	60	23	22	12	11	16	13	5	12	2	15	3	18	5	8	14	3	7	9	22	10	22	11	87
hsa-miR-24-3p|MIMAT0000080	3101	2172	1585	2825	1182	3420	5970	17840	4153	3205	5732	4865	2276	1050	3824	5512	2238	8351	2998	13583	927	8389	5587	27729	3657	1911	3075	2459	3729	3343	3194	1667	794	1457	2599	9970	2544	3690	4710	1421	2467	3427	6817	2178	4065	1443	4273
hsa-miR-24-2-5p|MIMAT0004497	67	83	47	142	36	53	80	248	168	38	67	99	26	13	58	102	37	115	63	152	22	74	97	340	42	41	62	43	64	79	59	41	25	35	39	165	44	73	65	32	47	80	272	67	130	29	89
hsa-miR-25-5p|MIMAT0004498	3	2	8	6	9	7	4	10	4	8	5	4	4	2	2	4	7	22	9	2	1	6	NA	1	8	5	10	3	1	2	10	15	3	7	7	3	2	3	3	6	2	1	5	13	5	13	2
hsa-miR-25-3p|MIMAT0000081	35235	19375	18672	32131	30742	49871	69809	74264	46862	54041	74828	56659	18211	32670	35829	38556	13054	44153	40317	69278	32991	47549	32489	44130	39073	63239	36841	17528	88718	158403	42695	74229	14658	80930	29186	63603	21202	12304	62469	18194	14347	22609	31757	26440	53853	37500	58505
hsa-miR-26a-5p|MIMAT0000082	5541	4784	1655	10069	5214	8341	23074	27475	21048	17001	6510	6864	7181	13497	8222	18432	3838	19243	6455	31260	3498	41043	11322	38686	19252	8903	7232	3072	11339	4984	9766	12328	1687	3579	8232	22821	12030	6996	29302	3547	12931	11531	15984	3921	7441	6899	11819
hsa-miR-26a-1-3p|MIMAT0004499	6	2	NA	1	NA	NA	2	1	1	5	NA	NA	NA	1	NA	3	NA	NA	NA	NA	1	3	1	3	1	NA	2	1	2	NA	NA	6	NA	NA	NA	1	NA	NA	1	NA	NA	NA	2	NA	1	10	1
hsa-miR-26b-5p|MIMAT0000083	1030	1554	681	3884	1026	1953	4076	6220	5563	1584	1302	3607	958	812	1953	3031	1210	3337	1603	8743	968	4956	2156	11291	2026	4164	1158	687	1468	2447	2313	2986	654	1411	1698	4191	2409	1572	5221	760	1297	2780	11453	1261	2348	1033	6441
hsa-miR-26b-3p|MIMAT0004500	68	47	39	117	52	62	138	113	122	116	79	195	43	90	144	156	18	102	55	284	76	215	169	303	187	441	115	54	137	169	68	165	32	71	56	118	59	36	194	37	39	69	91	37	101	29	147
hsa-miR-27a-5p|MIMAT0004501	91	12	79	50	21	149	117	122	29	34	23	50	13	12	42	64	88	172	65	24	2	29	51	21	29	11	56	45	18	26	12	45	11	16	28	109	35	73	37	22	28	28	62	69	34	23	26
hsa-miR-27a-3p|MIMAT0000084	3544	2281	1731	4181	1351	2693	5667	14399	4495	4232	4821	5241	1694	1445	3882	5815	1324	7333	2965	8897	967	6183	7391	20453	4243	1638	3324	2566	2894	2370	2703	1769	652	1994	2222	5390	2892	3347	4001	1036	2522	3887	8075	1837	3104	880	4853
hsa-miR-28-5p|MIMAT0000085	492	172	98	316	262	535	311	1657	442	904	287	2180	163	156	425	579	142	1038	349	393	1085	736	353	882	468	1466	597	391	656	653	321	405	91	851	310	826	274	250	1924	45	203	304	197	331	869	253	375
hsa-miR-28-3p|MIMAT0004502	26899	7608	5839	13028	7750	11776	5051	28134	12496	37848	7398	57695	4883	4526	12481	16531	2140	12415	6906	6917	34078	21602	9792	18790	12036	32100	24450	8041	17828	26553	9819	14709	4786	18803	5270	12817	7681	4824	40043	1445	4469	7316	6172	9830	26993	7561	17129
hsa-miR-29a-5p|MIMAT0004503	41	31	25	55	34	58	81	132	65	68	84	85	11	60	33	36	35	81	49	148	18	60	74	130	44	21	36	35	44	49	43	83	14	18	54	114	37	21	103	15	47	89	39	30	70	22	24
hsa-miR-29a-3p|MIMAT0000086	15101	27966	14728	33509	27988	22368	50050	82166	56919	49900	51285	33147	11830	49232	15418	57916	17044	48868	31655	181551	10197	161569	50967	207021	72001	25621	41151	17448	23741	22779	27736	29041	5591	16529	18340	81265	33729	20573	80559	14092	35055	55386	51431	17925	28035	11019	39833
hsa-miR-30a-5p|MIMAT0000087	24774	18224	10318	78439	15210	12911	23319	77158	63833	22055	15941	15034	11255	4810	15130	76974	5448	25934	16162	13358	7826	25655	21999	22268	19727	11735	7827	5772	127361	16305	21951	26514	6829	22487	5801	36306	22896	13616	22522	8125	17723	25753	6970	16063	7894	19838	111056
hsa-miR-30a-3p|MIMAT0000088	5801	4308	2747	17659	2929	2305	4004	12143	8672	6566	5626	4854	5690	1767	5172	30798	703	3457	2590	3753	2108	7834	7818	5962	5354	4068	2891	1721	37561	2602	3980	6038	1703	3675	935	5382	2989	1982	3390	1226	2268	3708	1019	4381	1792	3579	23535
hsa-miR-31-5p|MIMAT0000089	8	1	1	8	2	2	NA	38	2	7	3	4	NA	1	7	30	1	7	NA	NA	1	75	1	29	NA	1	3	3	6	7	6	22	1	1	NA	10	6	1	10	NA	NA	5	NA	7	4	6	79
hsa-miR-31-3p|MIMAT0004504	5	2	NA	1	2	1	NA	28	NA	5	2	NA	1	1	5	18	NA	5	4	NA	NA	38	1	15	2	NA	1	9	4	4	3	9	NA	1	NA	3	5	2	8	NA	NA	1	1	2	1	4	59
hsa-miR-32-5p|MIMAT0000090	71	87	47	139	83	183	416	371	379	219	225	695	58	176	229	252	110	361	254	762	100	893	259	1110	264	339	69	42	244	169	101	157	31	222	111	192	190	110	376	52	138	181	298	72	187	106	249
hsa-miR-32-3p|MIMAT0004505	4	7	3	8	6	12	27	9	17	6	11	18	NA	8	9	9	5	21	14	20	6	10	8	19	2	8	1	3	15	7	4	4	6	10	8	6	5	6	14	2	3	6	6	7	9	7	6
hsa-miR-33a-5p|MIMAT0000091	49	65	44	131	36	53	152	171	252	154	227	404	84	217	201	383	27	131	148	1508	342	449	302	649	189	354	121	134	318	82	44	171	16	281	147	72	63	47	178	35	57	102	138	44	145	66	227
hsa-miR-33a-3p|MIMAT0004506	10	3	7	10	5	4	20	19	17	14	24	24	5	41	25	18	5	26	19	70	31	21	26	28	16	29	13	15	47	9	8	18	1	51	16	16	12	9	30	3	4	7	11	2	20	4	12
hsa-miR-92a-1-5p|MIMAT0004507	77	27	106	43	13	178	120	93	66	45	23	170	44	38	121	42	34	92	88	39	7	12	23	5	32	3	256	19	33	6	36	68	24	115	161	82	36	28	112	41	12	37	50	147	31	114	36
hsa-miR-92a-3p|MIMAT0000092	73210	47325	77231	139976	54895	121269	254885	149972	128730	97794	92358	403075	95620	94962	258039	78021	40967	135170	119423	397633	27722	46573	55858	37415	56837	41129	193457	35781	336064	64520	79135	99306	42799	135887	160233	149827	37028	30460	209375	35583	23191	59122	68184	62587	58396	87325	120596
hsa-miR-92a-2-5p|MIMAT0004508	NA	NA	NA	1	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA
hsa-miR-93-5p|MIMAT0000093	35686	13945	13983	32309	20069	68987	79165	88737	64007	23705	90567	43377	10507	23164	39302	22359	23288	74872	55538	72323	35726	19082	23588	25064	18116	20669	9374	17640	78328	102649	30653	54712	12033	59602	56047	77173	16199	16603	53667	13346	10708	23768	15786	19040	43658	25495	39191
hsa-miR-93-3p|MIMAT0004509	32	33	22	58	35	58	81	80	90	51	83	127	14	29	48	39	22	104	88	109	62	44	53	78	25	54	22	26	174	128	46	114	19	106	58	83	24	22	70	7	14	40	39	20	78	20	99
hsa-miR-95-3p|MIMAT0000094	3	5	1	3	5	12	5	29	19	6	9	8	3	2	5	6	6	11	2	31	NA	16	7	25	7	6	4	4	5	3	21	9	5	4	NA	6	10	4	10	9	3	4	17	3	4	9	11
hsa-miR-96-5p|MIMAT0000095	6	10	35	18	9	22	220	114	20	19	116	241	8	70	26	22	26	13	65	129	7	2	33	8	35	21	13	3	41	84	19	74	2	18	98	132	2	3	45	42	22	25	105	9	27	12	68
hsa-miR-96-3p|MIMAT0004510	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	2	1	1	NA	NA	NA	NA	2	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	2	NA	NA	2	NA	1	NA	NA	NA	NA	1	NA
hsa-miR-98-5p|MIMAT0000096	225	172	162	305	327	415	1096	1035	436	192	305	603	105	117	290	309	194	763	194	421	231	260	251	332	207	213	106	174	115	290	390	279	129	250	353	616	198	120	500	144	156	306	158	190	237	167	245
hsa-miR-99a-5p|MIMAT0000097	373	173	66	369	265	526	998	7489	490	235	135	559	577	246	442	1600	117	496	325	627	376	307	172	814	39	279	100	422	415	465	377	286	178	38	110	557	197	43	280	29	42	200	156	309	625	1225	583
hsa-miR-99a-3p|MIMAT0004511	NA	NA	NA	1	2	NA	2	24	3	NA	1	NA	1	1	3	7	NA	2	1	1	5	NA	NA	4	1	1	NA	1	NA	2	NA	3	1	1	NA	1	NA	NA	2	1	NA	1	NA	3	3	4	NA
hsa-miR-100-5p|MIMAT0000098	10653	8813	1553	12799	9044	7948	31257	125973	17358	32129	3926	37898	8982	6609	23109	79344	5692	24455	5135	11246	14622	6926	16240	13166	9364	16598	7286	11813	16733	25443	12391	6995	3421	8559	18903	37774	9711	5066	17525	8115	10179	15405	1209	12788	15503	16220	7620
hsa-miR-100-3p|MIMAT0004512	2	NA	NA	1	NA	NA	1	3	NA	NA	NA	2	NA	NA	NA	NA	NA	1	NA	NA	2	NA	2	NA	1	NA	NA	NA	NA	NA	1	NA	1	4	1	NA	NA	1	2	NA	NA	2	NA	4	3	1	1
hsa-miR-101-5p|MIMAT0004513	18	18	8	26	9	13	46	83	20	21	27	11	15	13	13	29	10	43	16	69	8	98	20	125	39	16	13	8	18	15	24	42	3	26	13	43	29	3	39	2	11	18	18	11	11	17	27
hsa-miR-101-3p|MIMAT0000099	36537	32013	8401	57231	33501	35959	163012	160056	101105	118406	81429	76730	42716	52239	57293	153045	22925	99234	50054	81870	18932	231654	97466	161880	107587	89053	29959	16908	55023	55133	67967	61471	7843	33325	41245	90967	79283	35932	164395	17526	51533	66168	27314	20325	23691	32330	42360
hsa-miR-29b-1-5p|MIMAT0004514	43	22	62	23	42	57	79	81	55	96	30	28	18	52	13	31	58	103	74	80	13	49	73	21	34	13	89	51	25	48	50	52	17	35	67	193	43	25	92	23	60	57	47	63	69	39	11
hsa-miR-29b-3p|MIMAT0000100	3264	7170	5239	5962	7365	4571	7881	13602	16396	6209	7057	2750	1197	7065	2178	7983	4458	11006	9219	36278	6000	22059	9398	44142	18667	11650	7961	3078	4617	2239	6043	7584	1280	8925	7316	12163	12505	4514	24611	3615	10476	23188	9029	2817	5988	2932	6815
hsa-miR-29b-2-5p|MIMAT0004515	304	136	108	122	92	313	604	356	231	168	94	177	34	74	131	137	140	331	89	356	376	112	303	229	214	589	214	114	240	123	195	153	86	169	207	355	130	63	331	130	111	310	102	84	78	137	308
hsa-miR-103a-2-5p|MIMAT0009196	15	10	2	20	4	21	13	24	43	6	10	13	NA	7	4	3	10	11	16	6	9	5	7	24	5	3	8	11	12	8	10	18	6	14	7	20	15	9	20	6	14	19	38	11	36	10	16
hsa-miR-103a-3p|MIMAT0000101	102473	56293	32678	123038	45795	221083	372737	451479	240533	96175	119518	181455	41908	79344	89365	94201	125685	371211	125324	105080	66031	70122	126788	154968	71009	72723	53466	80815	178519	107282	103982	90598	43710	92664	177315	364953	151097	117309	245393	50285	100997	172339	86232	83235	113087	62360	101827
hsa-miR-105-5p|MIMAT0000102	NA	5	NA	3	1	NA	1	NA	4	3	NA	1	NA	NA	NA	3	NA	1	4	1	NA	NA	4	NA	2	NA	NA	NA	52	NA	2	NA	NA	NA	NA	2	2	NA	1	NA	NA	1	NA	11	2	23	NA
hsa-miR-105-3p|MIMAT0004516	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
hsa-miR-106a-5p|MIMAT0000103	27	23	19	36	35	1517	398	747	884	73	45	156	79	68	168	63	370	1566	592	967	29	75	51	153	73	35	133	50	157	219	175	33	111	387	552	254	204	179	392	75	91	201	391	112	37	385	181
hsa-miR-106a-3p|MIMAT0004517	1	1	NA	1	NA	1	NA	5	6	NA	NA	NA	NA	NA	NA	NA	NA	14	9	22	NA	NA	NA	1	1	NA	NA	NA	NA	1	NA	1	NA	NA	3	2	NA	NA	1	NA	NA	NA	6	NA	NA	4	1
hsa-miR-107|MIMAT0000104	163	141	89	224	158	464	1102	955	626	834	432	924	357	461	461	425	440	1070	382	610	294	661	578	1004	554	521	677	253	1797	316	286	163	81	431	509	775	417	306	899	220	319	368	390	182	266	328	281
hsa-miR-16-2-3p|MIMAT0004518	56	50	47	86	80	91	96	136	122	73	63	180	37	144	83	103	58	229	227	558	136	144	65	278	182	87	152	95	148	106	35	119	32	202	222	185	79	48	244	61	71	91	141	65	96	49	118
hsa-miR-192-5p|MIMAT0000222	3622	1517	1908	2279	1289	4747	20376	7170	3949	6762	1322	6640	1966	3575	3665	3938	1452	65988	2230	6238	1286	2274	3046	5723	14148	10134	3856	866	4747	2645	3759	3422	814	2015	2249	3290	2897	980	5520	3218	1794	1933	1757	2040	2538	3683	39398
hsa-miR-192-3p|MIMAT0004543	4	3	4	5	2	8	75	18	15	12	NA	10	2	11	2	14	5	328	18	20	10	10	6	47	75	41	9	2	12	5	14	12	1	18	20	14	15	4	24	4	8	8	11	4	7	15	154
